Timestep,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013
0,0.308909,0.293306,0.279396,0.313678,0.327841,0.31602,0.300843,0.308436,0.301631,0.292818,0.292249,0.320117
1,0.276012,0.260711,0.247324,0.275248,0.301398,0.282233,0.26411,0.274773,0.264362,0.259908,0.263095,0.281802
2,0.247082,0.235268,0.225495,0.246745,0.275036,0.251179,0.239986,0.245839,0.236829,0.238631,0.238241,0.25107
3,0.225577,0.216612,0.213288,0.228181,0.240097,0.224546,0.22542,0.230667,0.216877,0.227143,0.220892,0.230735
4,0.207851,0.20323,0.1993,0.212212,0.21965,0.212954,0.212296,0.219264,0.20718,0.209379,0.213809,0.227509
5,0.195471,0.19417,0.192595,0.201982,0.210765,0.205029,0.203298,0.21293,0.206715,0.204382,0.203248,0.215771
6,0.19075,0.189093,0.189404,0.198691,0.203225,0.198008,0.196432,0.207859,0.198842,0.197018,0.198133,0.207533
7,0.188662,0.185382,0.186201,0.194219,0.198231,0.194361,0.19064,0.197239,0.190353,0.191773,0.194291,0.20544
8,0.181728,0.183765,0.183732,0.188447,0.196069,0.194491,0.18729,0.19356,0.185451,0.188085,0.193412,0.199959
9,0.18453,0.191863,0.187181,0.190911,0.205978,0.200138,0.193669,0.194406,0.190495,0.19283,0.197248,0.206343
10,0.201764,0.209555,0.204348,0.213249,0.210998,0.208003,0.202076,0.195901,0.193738,0.20353,0.211665,0.211634
11,0.215794,0.231461,0.228073,0.224346,0.221875,0.22512,0.218306,0.225047,0.220245,0.221966,0.255587,0.235408
12,0.263736,0.28174,0.275132,0.266591,0.268547,0.25358,0.248081,0.248512,0.262211,0.265975,0.320514,0.295375
13,0.326548,0.349929,0.357654,0.319928,0.33321,0.313927,0.306505,0.285421,0.343526,0.335724,0.41526,0.392499
14,0.409632,0.431167,0.437384,0.377066,0.38922,0.368584,0.365418,0.326333,0.433935,0.434557,0.531828,0.466463
15,0.454209,0.478605,0.474988,0.437107,0.436154,0.412936,0.39622,0.364843,0.459511,0.467561,0.553829,0.492095
16,0.483794,0.50204,0.511582,0.496823,0.484385,0.448703,0.440825,0.398334,0.464612,0.479694,0.528433,0.520083
17,0.499132,0.506768,0.526574,0.499358,0.486357,0.45811,0.45456,0.427436,0.446932,0.47632,0.527184,0.522196
18,0.515552,0.532795,0.530054,0.507266,0.493738,0.467618,0.476799,0.448019,0.483482,0.498982,0.54537,0.554721
19,0.540002,0.526018,0.536422,0.515212,0.499112,0.485025,0.480961,0.488959,0.498097,0.536932,0.540388,0.561693
20,0.564084,0.563598,0.54037,0.525542,0.506133,0.491524,0.495548,0.503745,0.511428,0.54313,0.546272,0.600552
21,0.59025,0.590132,0.555648,0.528292,0.506151,0.497951,0.498583,0.508535,0.526816,0.540687,0.55055,0.59386
22,0.608412,0.588165,0.573487,0.531052,0.519609,0.495708,0.499955,0.527688,0.530451,0.555545,0.53757,0.624485
23,0.633661,0.612539,0.588947,0.553657,0.51629,0.515188,0.51642,0.538518,0.535538,0.567395,0.556449,0.635412
24,0.624619,0.599488,0.557933,0.548672,0.514431,0.51687,0.522421,0.54596,0.521062,0.586279,0.574808,0.646769
25,0.627397,0.576088,0.566999,0.546726,0.504505,0.512096,0.525497,0.545669,0.542143,0.568907,0.574532,0.643883
26,0.626397,0.578912,0.555105,0.534272,0.511194,0.496498,0.503013,0.534999,0.526694,0.564871,0.546931,0.649246
27,0.637357,0.567271,0.562352,0.513237,0.500649,0.495786,0.495226,0.509512,0.524739,0.549265,0.552445,0.646566
28,0.629176,0.571691,0.580006,0.506776,0.497016,0.484251,0.482365,0.518899,0.523245,0.56021,0.601903,0.678337
29,0.637636,0.584033,0.580329,0.527013,0.496075,0.466395,0.486717,0.514311,0.543866,0.569544,0.604713,0.663644
30,0.64771,0.638825,0.602309,0.541997,0.502692,0.487325,0.49254,0.506385,0.551835,0.595575,0.65963,0.70704
31,0.703349,0.683044,0.664701,0.587354,0.554824,0.542278,0.519894,0.515155,0.566389,0.61815,0.732238,0.771763
32,0.780432,0.737217,0.709148,0.620747,0.591591,0.561651,0.544105,0.554409,0.611914,0.666009,0.790546,0.819861
33,0.82846,0.768473,0.733563,0.657729,0.614085,0.581165,0.569923,0.583664,0.633767,0.716291,0.843327,0.873308
34,0.860361,0.81761,0.750152,0.682118,0.647337,0.63308,0.583344,0.603667,0.643352,0.747972,0.861785,0.910487
35,0.843972,0.830325,0.769024,0.677896,0.651713,0.632571,0.580111,0.597068,0.65,0.76312,0.84405,0.896641
36,0.825571,0.837935,0.767679,0.681049,0.666611,0.606355,0.587408,0.61266,0.685634,0.796349,0.849575,0.888543
37,0.792666,0.819725,0.771468,0.665242,0.631691,0.590371,0.579826,0.596617,0.695676,0.784555,0.838694,0.859418
38,0.751278,0.787227,0.740391,0.646337,0.608846,0.574721,0.559368,0.587903,0.694309,0.751939,0.790968,0.816413
39,0.737116,0.708966,0.68991,0.618358,0.595805,0.557802,0.541214,0.56893,0.696904,0.712419,0.754118,0.767324
40,0.694381,0.688115,0.677085,0.607838,0.592273,0.542766,0.554271,0.549978,0.676115,0.689306,0.728282,0.735078
41,0.670808,0.664884,0.65629,0.616953,0.581457,0.539761,0.530629,0.560418,0.650846,0.676804,0.708604,0.704034
42,0.650985,0.627333,0.631137,0.604393,0.582402,0.524199,0.528314,0.573683,0.614396,0.637334,0.659217,0.677422
43,0.583011,0.56576,0.572595,0.566578,0.55277,0.515468,0.515283,0.539535,0.574881,0.603272,0.605705,0.628301
44,0.533638,0.526131,0.520153,0.53225,0.520333,0.495549,0.504981,0.508111,0.524896,0.550953,0.551961,0.567488
45,0.461166,0.456067,0.447245,0.459546,0.463559,0.456425,0.466768,0.452965,0.457463,0.464282,0.494477,0.49082
46,0.410874,0.406108,0.386766,0.412738,0.413586,0.405512,0.409788,0.410806,0.39583,0.418066,0.409161,0.430599
47,0.352457,0.340947,0.335896,0.359971,0.370736,0.361877,0.350251,0.356498,0.340924,0.346123,0.350306,0.381957
