Timestep,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013
0,-0.001591585,-0.00157043,-0.00154992,-0.001559865,-0.00156322,-0.00158032,-0.00157317,-0.00156593,-0.001530365,-0.001494675,-0.00148205,-0.00147724
1,-0.001589115,-0.00160983,-0.001595295,-0.001584075,-0.001564605,-0.00155038,-0.00156372,-0.00158076,-0.001521215,-0.001491475,-0.001480915,-0.001498555
2,-0.00160673,-0.001580885,-0.001574975,-0.001552415,-0.001572275,-0.001556835,-0.00157484,-0.001551385,-0.00153429,-0.00149101,-0.001487625,-0.00149449
3,-0.00161957,-0.001597195,-0.001592115,-0.001565845,-0.001558115,-0.00158458,-0.001579695,-0.00158738,-0.00153204,-0.001492445,-0.001485305,-0.001508485
4,-0.00161547,-0.001624495,-0.001595645,-0.001589625,-0.00156604,-0.0015435,-0.00157419,-0.001572475,-0.001513715,-0.001508825,-0.00148846,-0.00151445
5,-0.0016266,-0.001598715,-0.001583655,-0.001579695,-0.00158394,-0.001605085,-0.001584075,-0.001581565,-0.00156013,-0.001498235,-0.00149083,-0.00150106
6,-0.001627295,-0.00162162,-0.001597335,-0.00157738,-0.00157716,-0.001565145,-0.001579195,-0.00158286,-0.001505075,-0.00151434,-0.001513735,-0.00151889
7,-0.001608675,-0.001609645,-0.001576975,-0.001611465,-0.001569125,-0.00158108,-0.00157503,-0.001568225,-0.00156645,-0.001519295,-0.001487465,-0.00150766
8,-0.00162582,-0.001621935,-0.0016124,-0.001581555,-0.00159998,-0.00165533,-0.00162042,-0.001584175,-0.001533165,-0.001497195,-0.001512,-0.001510075
9,-0.00161851,-0.001600075,-0.001585185,-0.001577555,-0.001609025,-0.001313635,-0.00161861,-0.00159355,-0.00152166,-0.001525335,-0.00149569,-0.001519875
10,-0.00162546,-0.001610375,-0.00160018,-0.0015953,9.94455E-05,0.00536585,7.42385E-05,-0.001600935,-0.001554565,-0.001479355,-0.00147622,-0.00148225
11,-0.0015162,-0.00134653,-0.00122846,-0.00138957,0.00937505,0.01980115,0.00998005,-0.00071627,-0.001501205,-0.00151393,-0.00150329,-0.001524965
12,-0.000992575,-0.000734505,0.00056706,0.003212415,0.025973,0.0417256,0.02767395,0.00753345,-0.00156523,-0.001483885,-0.000652465,-0.00083283
13,0.000110207,0.00077192,0.00625045,0.0198587,0.0498464,0.0763025,0.050211,0.0249571,-0.00141058,-0.001487875,0.00088992,0.00090522
14,0.00166494,0.0056173,0.01817865,0.0535255,0.0830845,0.117675,0.0823375,0.0600255,0.0086985,-0.000428938,0.003830955,0.003852335
15,0.0084097,0.01705445,0.0410193,0.098006,0.1319405,0.161031,0.1257325,0.1052585,0.043428,0.00746825,0.00940185,0.01010335
16,0.01834425,0.0406672,0.0775905,0.1467295,0.1824105,0.211926,0.185316,0.1692405,0.0955305,0.02651175,0.0302702,0.01554035
17,0.0362498,0.089851,0.128581,0.1977985,0.2333205,0.263427,0.2427775,0.24276,0.151114,0.0670985,0.07924,0.0279003
18,0.06878,0.143293,0.167596,0.259166,0.261481,0.3154185,0.3008985,0.316696,0.2181645,0.1048555,0.138692,0.05841
19,0.0942835,0.196316,0.2094045,0.3107705,0.299576,0.3687715,0.3572155,0.352864,0.2597815,0.137703,0.1916515,0.10199
20,0.115466,0.255318,0.2444045,0.3528325,0.3435015,0.3913255,0.4005865,0.389648,0.3036395,0.157945,0.258203,0.147709
21,0.136056,0.2654355,0.256728,0.3959335,0.388993,0.4066205,0.44683,0.4032165,0.3389555,0.193765,0.291293,0.198205
22,0.1414825,0.2578955,0.265539,0.4209045,0.428148,0.4371195,0.483706,0.451801,0.3227795,0.228432,0.2622825,0.2125535
23,0.158157,0.2558875,0.2568195,0.4541485,0.4448925,0.470783,0.518805,0.470695,0.3320725,0.2492035,0.2332335,0.2123115
24,0.161116,0.262146,0.2692655,0.4826105,0.4384935,0.495395,0.51896,0.4627695,0.3498735,0.25765,0.2454495,0.2300605
25,0.144588,0.250627,0.256535,0.487623,0.448724,0.506465,0.515495,0.4777915,0.3614095,0.264964,0.228072,0.2254365
26,0.137952,0.2334915,0.27046,0.469101,0.4543055,0.491652,0.5251,0.52457,0.366336,0.258365,0.171541,0.1824495
27,0.121802,0.1985275,0.240037,0.4891715,0.4322105,0.4705615,0.527915,0.492664,0.353492,0.2392815,0.1393255,0.1284305
28,0.0911705,0.177255,0.2192315,0.47173,0.43301,0.4672135,0.5088,0.459442,0.344748,0.223031,0.1085065,0.0981835
29,0.066159,0.1438545,0.193447,0.4345795,0.4158285,0.429041,0.4842925,0.403922,0.3150825,0.2092405,0.0690505,0.0623915
30,0.03707105,0.1059625,0.153224,0.399893,0.3743145,0.404681,0.4510255,0.377057,0.3053265,0.1718255,0.0249086,0.0271137
31,0.0188791,0.0666985,0.124974,0.36624,0.340456,0.35488,0.403914,0.339796,0.2544425,0.1265145,0.00351916,0.00728505
32,0.00859075,0.03572975,0.0895775,0.30526,0.303107,0.301653,0.347409,0.288855,0.221016,0.0915335,0.000402895,0.003399005
