Time,PI,FLEX_S1,FLEX_S2,FLEX_S3,SPOT,S1_DA,S2_DA,S3_DA
0,5.307969497,1.26554255,1.26578846,7.64928746,75.077388,70.35326846,65.67477845,65.44455927
1,5.30769422,1.26554286,1.26585907,7.64928557,54.10506404,67.7518777,62.40335705,55.48889425
2,5.307784118,1.26554218,1.26575427,7.64927833,36.2267,53.62793549,45.75986815,46.14736925
3,5.307698574,1.26554115,1.26586614,7.64928497,37.94991404,54.88565015,47.24069134,47.57792747
4,5.30776988,1.26554053,1.26571722,7.64929012,53.48823398,67.36177637,61.64250151,55.69006284
5,5.307944076,1.26554317,1.26578009,7.64927365,58.69704598,69.96718658,61.68000498,55.68826454
6,5.307818837,1.26554219,1.26574655,7.64927862,76.36000704,72.19795086,67.01154986,66.72950439
7,5.308266506,1.26554386,1.26600484,7.64928074,82.63604196,76.92218511,72.64416431,72.91059849
8,5.30769937,1.26554211,1.26571666,7.64929109,66.23611696,62.56687004,60.992338,57.44595254
9,5.307450451,1.26554246,1.26582166,7.64928946,55.984938,66.96241297,60.99418577,57.44858432
10,5.307688055,1.26554173,1.26588406,7.64930706,47.887781,60.63878086,56.99397671,57.40377818
11,5.30770498,1.26554228,1.26582504,7.64928589,37.783469,54.26056727,47.89545889,47.45781853
12,5.307880359,1.26554551,1.26644055,7.64936278,40.37808596,56.8879572,49.85209493,50.00814902
13,5.307785808,1.26554466,1.26598047,7.64927739,67.45019802,81.68346149,76.71575136,67.34146525
14,5.307759106,1.26554274,1.26577254,7.64928103,78.328,94.17338268,86.98917698,78.04059384
15,5.307674892,1.26554488,1.26600478,7.6492763,87.52174802,101.1479252,88.33406736,81.0448911
16,5.307664161,1.26554215,1.26579822,7.64927071,109.727737,106.8308158,100.0552608,100.1289451
17,5.307907564,1.26554644,1.26660586,7.64927653,122.7497699,118.3602588,112.9077443,111.4262472
18,5.307425498,1.2655424,1.2658242,7.64927805,99.94652996,97.7400391,90.27080229,90.40093592
19,5.307913596,1.26557849,1.26608754,7.64927199,82.43043096,98.51766129,88.79739309,80.46133918
20,5.307643992,1.26555174,1.26577794,7.64927075,70.17209504,78.06133863,79.33369519,78.19794091
21,5.307905604,1.26555088,1.26659046,7.64936967,68.115987,73.60950651,77.34574926,75.27832355
22,5.30789373,1.26554367,1.26572838,7.64929886,27.13086002,38.64455563,45.18910358,39.73302481
23,5.307772442,1.26562993,1.26638837,7.64942311,53.77217004,60.52003292,46.25163832,44.20511696
