,Timestep,Status,Obj,P Feed In,P Feed Out,P Local Gen,P Local Dem,Q Feed In,Q Feed Out,Q Local Gen,Q Local Dem,FT,Lambda Feed,GT,Max Price Diff,Surplus,Spot,GenP[1],GenP[2],GenP[3],GenP[4],GenP[6],GenP[7],GenP[8],GenP[11],GenP[12],GenP[13],GenQ[1],GenQ[2],GenQ[3],GenQ[4],GenQ[6],GenQ[7],GenQ[8],GenQ[11],GenQ[12],GenQ[13],Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
0,2013-11-01 00:00:00,optimal,-0.022246945145231904,8.014285010475208e-16,0.0003547442050055464,0.004519824205004743,0.004165080000000001,0.0009727392887779093,1.917515493854516e-05,0.001267811866160663,0.0020825400000000003,64.14682420276118,64.14682420275575,84.06027979723883,0,-1.3530843112619095e-16,74.10355200000001,4.0095070322881657e-16,4.0095070322881657e-16,4.0095070322881657e-16,4.0095070322881657e-16,4.0095070322881657e-16,0.0016323857699994094,4.0095070322881657e-16,4.0095070322881657e-16,0.0028874384350001223,4.0095070322881657e-16,-3.1984710855799657e-15,-3.1984710855799657e-15,-3.1984710855799657e-15,-3.1984710855799657e-15,-3.1984710855799657e-15,0.0004662468416119751,-3.1984710855799657e-15,-3.1984710855799657e-15,0.0008015650245902677,-3.1984710855799657e-15,-0.02275571415538572,-0.01781177697000188,-0.01781177697000188,-0.01781177697000188,-0.01781177697000188,-0.01781177697000188,-0.01781177697000188,0.0869005860492046,-0.01781177697000188,-0.01781177697000188,-0.01781177697000188,-0.01781177697000188,0.16740822871620545,-0.01781177697000188,-0.01781177697000188,-0.017811776970001896
1,2013-11-01 01:00:00,optimal,-0.013091088061456129,9.636859679404301e-16,0.0006328755358389741,0.004076373035838009,0.0034434975000000017,0.0007577220911727467,9.474231218769614e-05,0.0011735522210149776,0.0017217487500000008,43.44653426996118,43.44653426994264,63.359989864438816,0,-1.0581813203458523e-16,53.4032620672,4.827492346803073e-16,4.827492346803073e-16,4.827492346803073e-16,4.827492346803073e-16,4.827492346803073e-16,0.0013832248508316455,4.827492346803073e-16,4.827492346803073e-16,0.002693148185000088,4.827492346803073e-16,-3.2457183043907486e-15,-3.2457183043907486e-15,-3.2457183043907486e-15,-3.2457183043907486e-15,-3.2457183043907486e-15,0.0004110383021536616,-3.2457183043907486e-15,-3.2457183043907486e-15,0.0007625139189035102,-3.2457183043907486e-15,-0.050251962811780154,-0.027785645779461694,-0.027785645779461694,-0.027785645779461694,-0.027785645779461694,-0.027785645779461694,-0.027785645779461694,0.1370230431244172,-0.027785645779461694,-0.027785645779461694,-0.027785645779461694,-0.027785645779461694,0.2744423148203648,-0.027785645779461694,-0.027785645779461694,-0.02778564577946175
2,2013-11-01 02:00:00,optimal,-0.025994049595225693,5.741603114597758e-16,0.0003250496208362134,0.0034529771208356404,0.003127927500000001,0.000729386738666697,0.00012129318940929408,0.0010601344507426191,0.0015639637500000005,25.80007220276118,25.800072202746268,45.71352779723882,0,1.734723475976807e-18,35.7568,2.868802353356808e-16,2.868802353356808e-16,2.868802353356808e-16,2.868802353356808e-16,2.868802353356808e-16,0.0011899319191653864,2.868802353356808e-16,2.868802353356808e-16,0.0022630452016665237,2.868802353356808e-16,-2.630810206998462e-15,-2.630810206998462e-15,-2.630810206998462e-15,-2.630810206998462e-15,-2.630810206998462e-15,0.00032003291235996946,-2.630810206998462e-15,-2.630810206998462e-15,0.0007401015384168503,-2.630810206998462e-15,-0.05863826649881494,-0.03316569613578467,-0.03316569613578467,-0.03316569613578467,-0.03316569613578467,-0.03316569613578467,-0.03316569613578467,0.16234332219890624,-0.03316569613578467,-0.03316569613578467,-0.03316569613578467,-0.03316569613578467,0.32744899406510924,-0.03316569613578467,-0.03316569613578467,-0.03316569613578472
3,2013-11-01 03:00:00,optimal,-0.03455580732424281,0.00014019470698500201,4.295733356724811e-11,0.002802985336149443,0.0029431799999999997,0.0008476695478695218,0.00014777331867634692,0.0008697997708068237,0.0014715899999999998,27.500934269961185,47.414389836983695,47.414389864438824,0,8.397641956814361e-12,37.457662067200005,-1.6296686507704494e-11,-1.6296686507704494e-11,-1.6296686507704494e-11,-1.6296686507704494e-11,-1.6296686507704494e-11,0.0012052911006699453,-1.6296686507704494e-11,-1.6296686507704494e-11,0.0015976944473364227,-1.6296686507704494e-11,8.060134626835568e-17,8.060134626835568e-17,8.060134626835568e-17,8.060134626835568e-17,8.060134626835568e-17,0.00038444713080123215,8.060134626835568e-17,8.060134626835568e-17,0.0004853526400045436,8.060134626835568e-17,-0.05199102204554212,-0.042468969167176365,-0.042468969167176365,-0.042468969167176365,-0.042468969167176365,-0.042468969167176365,-0.042468969167176365,0.21018819205442393,-0.042468969167176365,-0.042468969167176365,-0.042468969167176365,-0.042468969167176365,0.39389942917280835,-0.042468969167176365,-0.042468969167176365,-0.04246896916717641
4,2013-11-01 04:00:00,optimal,-0.05143770171742146,0.00042172982750037554,-4.914824114731999e-17,0.0025082201724995696,0.0029299500000000006,0.0009177021523403319,7.588649950077245e-05,0.0007208243471604318,0.0014649750000000003,42.83770516916118,62.7511607636353,62.75116076363882,0,-3.694961003830599e-16,52.7944329664,2.4841089849210062e-17,2.4841089849210062e-17,2.4841089849210062e-17,2.4841089849210062e-17,2.4841089849210062e-17,0.0011817800216662035,2.4841089849210062e-17,2.4841089849210062e-17,0.0013264401508330428,2.4841089849210062e-17,1.1411499415757485e-15,1.1411499415757485e-15,1.1411499415757485e-15,1.1411499415757485e-15,1.1411499415757485e-15,0.0003465742378181079,1.1411499415757485e-15,1.1411499415757485e-15,0.0003742501093274889,1.1411499415757485e-15,-0.025526985841242782,-0.05472615339913569,-0.05472615339913569,-0.05472615339913569,-0.05472615339913569,-0.05472615339913569,-0.05472615339913569,0.2720890759492914,-0.05472615339913569,-0.05472615339913569,-0.05472615339913569,-0.05472615339913569,0.4648779040891124,-0.05472615339913569,-0.05472615339913569,-0.054726153399135696
5,2013-11-01 05:00:00,optimal,-0.06628400667689002,0.0005418379283353073,1.3713624651924745e-16,0.002962552071664831,0.0035043899999999987,0.0010187134421391392,2.6746109864269952e-05,0.0008770406677251148,0.0017521949999999994,47.97895316916118,67.8924087636275,67.89240876363883,0,5.898059818321144e-17,57.9356809664,-7.001605046289524e-17,-7.001605046289524e-17,-7.001605046289524e-17,-7.001605046289524e-17,-7.001605046289524e-17,0.0013469612708327688,-7.001605046289524e-17,-7.001605046289524e-17,0.0016155908008329718,-7.001605046289524e-17,1.858610641826145e-15,1.858610641826145e-15,1.858610641826145e-15,1.858610641826145e-15,1.858610641826145e-15,0.00040780127483304647,1.858610641826145e-15,1.858610641826145e-15,0.00046923939286790665,1.858610641826145e-15,0.011259696272925692,-0.07058758528895168,-0.07058758528895168,-0.07058758528895168,-0.07058758528895168,-0.07058758528895168,-0.07058758528895168,0.34767608924763366,-0.07058758528895168,-0.07058758528895168,-0.07058758528895168,-0.07058758528895168,0.5587028232442096,-0.07058758528895168,-0.07058758528895168,-0.07058758528895168
6,2013-11-01 06:00:00,optimal,-0.23115398719529182,0.0023379404215495623,-4.442099849785069e-09,0.0031803601180361643,0.005518304999999999,0.0018995864581359354,5.271317162008381e-05,0.0010962227134841882,0.0027591524999999997,65.41280626996118,85.3258382979315,85.32626186443883,0,-1.5626935856438706e-09,75.36953406720001,4.497369780937861e-07,4.497369780937861e-07,4.497369780937861e-07,4.497369780937861e-07,4.497369780937861e-07,0.0012848940853527268,4.497369780937861e-07,4.497369780937861e-07,0.0018918570320389635,4.497369780937861e-07,6.667917573764186e-08,6.667917573764186e-08,6.667917573764186e-08,6.667917573764186e-08,6.667917573764186e-08,0.0004511965114233223,6.667917573764186e-08,6.667917573764186e-08,0.0006444927686785137,6.667917573764186e-08,0.21074680165815493,-0.10193947777819337,-0.10193947777819337,-0.10193947777819337,-0.10193947777819337,-0.10197766245725237,-0.10193947777819337,0.4259204875304979,-0.10193947777819337,-0.10197766245725237,-0.10197766245725237,-0.10193947777819337,0.6887368437688597,-0.10193947777819337,-0.10197766245725237,-0.10197766245725243
7,2013-11-01 07:00:00,optimal,-0.48875183634602415,0.004998272512895784,1.0560530117138701e-10,0.003144155093143274,0.008142427499998496,0.0030920854097258163,5.5381738155742304e-05,0.001305924328429142,0.004071213749999248,71.60743413556118,91.52079652881848,91.52088973003883,0,3.983500335147383e-11,81.5641619328,6.616234264237608e-06,6.616234264237608e-06,6.616234264237608e-06,6.616234264237608e-06,6.616234264237608e-06,0.001513644102850532,6.616234264237608e-06,6.616234264237608e-06,0.0015775813653508867,6.616234264237608e-06,1.5356360602679264e-06,1.5356360602679264e-06,1.5356360602679264e-06,1.5356360602679264e-06,1.5356360602679264e-06,0.0006331772572991701,1.5356360602679264e-06,1.5356360602679264e-06,0.0006604619826581033,1.5356360602679264e-06,0.6681926736413949,-0.15101405144684366,-0.15101405144684366,-0.15101405144684366,-0.15101405144684366,-0.1516577637166718,-0.15101405144684366,0.5147703047859928,-0.15101405144684366,-0.1516577637166718,-0.1516577637166718,-0.15101405144684366,0.7834382502162592,-0.15101405144684366,-0.1516577637166718,-0.15165776371667172
8,2013-11-01 08:00:00,optimal,-0.4423023371728895,0.005559653637722007,-8.574742446263207e-09,0.002357465252242162,0.0079171275,0.003401811582059066,5.402462667653524e-05,0.0008746810446170543,0.00395856375,55.42023413556118,75.33378192742818,75.33368973003883,0,-2.6587841511771515e-09,65.3769619328,5.4764309614392514e-05,5.4764309614392514e-05,5.4764309614392514e-05,5.4764309614392514e-05,5.4764309614392514e-05,0.0010723628168917668,5.4764309614392514e-05,5.4764309614392514e-05,0.0008469665519374279,5.4764309614392514e-05,1.3825858463309293e-05,1.3825858463309293e-05,1.3825858463309293e-05,1.3825858463309293e-05,1.3825858463309293e-05,0.00042594690886118045,1.3825858463309293e-05,1.3825858463309293e-05,0.00033812726779859945,1.3825858463309293e-05,1.0870230543453547,-0.18665025932738982,-0.18665025932738982,-0.18665025932738982,-0.18665025932738982,-0.19141925162862705,-0.18665025932738982,0.5557936409423568,-0.18665025932738982,-0.19141925162862705,-0.19141925162862705,-0.18665025932738982,0.8074816333012962,-0.18665025932738982,-0.19141925162862705,-0.19141925162862644
9,2013-11-01 09:00:00,optimal,-0.3644443207897698,0.005127962167471074,-1.5483840018160306e-09,0.0030152212777626586,0.008143184999999997,0.003396238088662422,6.0886448844121354e-05,0.0010076803601816906,0.004071592499999999,45.30202420276118,65.21547766551296,65.21547979723883,0,-4.16222480092987e-10,55.258752,0.00016517212319767154,0.00016517212319767154,0.00016517212319767154,0.00016517212319767154,0.00016517212319767154,0.0008351699290713573,0.00016517212319767154,0.00016517212319767154,0.0008586700196398453,0.00016517212319767154,4.63464912733671e-05,4.63464912733671e-05,4.63464912733671e-05,4.63464912733671e-05,4.63464912733671e-05,0.000314278172036361,4.63464912733671e-05,4.63464912733671e-05,0.000322630257956183,4.63464912733671e-05,1.4214456575262622,-0.21128259371560273,-0.21128259371560273,-0.21128259371560273,-0.21128259371560273,-0.22682330827590788,-0.21128259371560273,0.574855533499042,-0.21128259371560273,-0.22682330827590788,-0.22682330827590788,-0.21128259371560273,0.828076095489588,-0.21128259371560273,-0.22682330827590788,-0.22682330827590697
