,Iteration,Local,Global,P0,Q0,U0,DA0,A0,P1,Q1,U1,DA1,A1,P2,Q2,U2,DA2,A2,P3,Q3,U3,DA3,A3,P4,Q4,U4,DA4,A4,P5,Q5,U5,DA5,A5,P6,Q6,U6,DA6,A6,P7,Q7,U7,DA7,A7,P8,Q8,U8,DA8,A8,P9,Q9,U9,DA9,A9,P10,Q10,U10,DA10,A10,P11,Q11,U11,DA11,A11,P12,Q12,U12,DA12,A12,P13,Q13,U13,DA13,A13,P14,Q14,U14,DA14,A14,P15,Q15,U15,DA15,A15,Cost15,Prime15,Dual15,Flow15,Relative Surplus15,FLEX15
0,0,2.5082902908325195,0.002023458480834961,0.013505888899983824,0.37762693224292887,1.2343763961178116e-09,202.58833349975737,0.03784523214412715,0.014025901476897099,0.7351952261150392,0.2800023616694385,202.58833349975737,0.037845250073742134,0.183231800472874,0.4461132603477654,0.17203349834423073,40.13288790821392,0.03784523961453675,0.2471499637734798,0.23787998594514548,0.31356346288023923,2748.1839839842683,0.03784650660632574,0.2220792489845028,0.3171723414451816,0.2980683944650324,2488.2088585264787,0.03784643714924702,0.1354680691527672,0.19270818850580923,0.013674439123740917,2030.8178054637933,0.30375268097475533,0.03736547129534601,0.05659898572064384,0.00409989598540913,69.91807353238171,0.037845488153705524,0.03707359726251847,0.05633388995269694,0.00011568147794300967,556.1039589377771,0.03784667493709352,0.060622358153858615,0.08548084093513479,0.0011504707141216943,909.3353723078792,0.03784682312331894,0.0927548633021767,0.13093439178511201,0.03581147432958248,883.9763028519259,0.3037526809747553,0.04844621837882371,0.069182131890085,0.007985748722764979,572.2539878080058,0.3037526809747553,0.05843380391696097,0.08852944070791367,0.007756933806183547,447.89339173489344,0.037845587119443025,0.050228638740442706,0.07694904759024243,5.123198930533231e-05,753.4295811066406,0.037845508989152926,0.31776321351677156,0.44692563618968634,0.20621138733771105,40.13288790821392,0.037845239614536744,0.45304920009283245,0.23307517652519608,0.15140320400257265,4766.279242849903,0.3037526809747553,0.3229354057375568,0.2313795019059909,0.000352915877746695,4844.031086063353,0.3037526809747553,0.0,0.0,0.0,0.0,0.0,1.5309664745419278
1,1,2.64454984664917,0.01007223129272461,0.0009107095350378773,0.11766248487059074,1.3948432359450136e-08,191.98036692086703,0.03437661898093993,0.1782272406121271,0.12815297517906246,0.35957462280418345,191.98036692086703,0.03437661590150023,0.11420683724784758,0.3377753864329329,0.22046111409911884,1357.3621083475828,0.03437725672246039,0.07319827970666394,0.36224564052392316,0.14554590186033475,3843.4583453085843,0.034376627714390075,0.06365678603619668,0.16190126801551916,0.12251488357435647,2411.264702018807,0.034375445509402705,0.10711042299918454,0.15463059099579715,0.04645300651621057,1080.3112535204843,0.27590884157968826,0.08883515881729602,0.12842596512506144,0.0016503255812921867,1365.1472419508552,0.034376494946039074,0.02084368568444269,0.03087110731388704,0.0011259460738294487,868.7592407588133,0.03437545083723172,0.0520533197143765,0.07343821962307488,0.009556618372880485,1690.134905994861,0.03437546714207878,0.05520196753277407,0.07772126514076813,0.05336132106773582,835.4935219897711,0.2759088415796881,0.04773046809821605,0.06979634522238286,0.016834674692448082,843.6057558538964,0.2759088415796887,0.045324001170260496,0.06730224404024346,0.0011860137024811597,214.7244587721522,0.03437632475384742,0.010164673083441222,0.01656018538031358,0.0008200117168731764,905.8996773101686,0.03437667375667467,0.22462328573539198,0.12346631069880445,0.17623048932790664,2366.4671561197347,0.034377722667329226,0.1624915971954534,0.17256202220113456,0.01942204493854645,2328.947452350598,0.2759088415796878,0.0007008485715567777,0.128186504843599,0.013716135884997928,4850.852836374418,0.27590884157968804,48955.36182050219,0.0,0.0,0.0,0.0,2.9215516184591372
2,2,2.371577262878418,0.01006770133972168,0.08192808625195165,0.207052331899598,2.237886329953445e-13,1048.596435551583,0.029490684204926964,0.14226482286973288,0.2510408703491055,0.3079152263812777,1048.5964355515828,0.029491241039815548,0.11767021988768418,0.10472848781998972,0.23512984146506669,3101.765976140978,0.02949092091186448,0.04459766927366059,0.1003960837951301,0.11039346810836811,3574.2928427459224,0.029490320940598648,0.07576388588278778,0.039424410287250126,0.1197073961282981,1798.859614907431,0.02949089124446344,0.05745168100524173,0.04546000619940348,0.0632593844496628,268.2487730722868,0.2366952927905855,0.0493345276080722,0.07104489590045629,0.0175195617073743,1653.5097873590298,0.02949097831688013,0.04543456700136717,0.06496061585179719,0.0028586043210479086,1550.2777453413298,0.029490699531306584,0.017123553274574314,0.023591546144373768,0.018331836655765085,1946.9872258671166,0.02949082817564295,0.045124787800668156,0.0433095650191988,0.0711688551973142,328.6064624926607,0.23669529402678163,0.0566730141844053,0.0831296212676198,0.022356696459671466,1211.2732854412495,0.23669529029334702,0.05158644791066156,0.07587993125148891,0.005633357809225967,981.1377651846574,0.029490834222294694,0.007085061143597986,0.010630947674752192,0.0020634808938941786,1012.1755943461899,0.029490582666554386,0.164454659094102,0.1378461857900169,0.10133213312221075,2345.440106233005,0.029490124912638804,0.18361573466538142,0.04665302457356453,0.019146719705548466,138.5597451069736,0.23669529106642487,0.08168378034945381,0.04664015930770314,0.012521523323536942,3625.6507556673323,0.2366952927884548,60919.076554928004,0.7157692733891795,0.5938439552673433,12.435140615419016,-112.19791860421867,4.114513128367627
3,3,2.340416669845581,0.00801706314086914,0.025111596630963826,0.12829743977483388,3.336481109580705e-11,1424.9311272543625,0.023478877522248857,0.06986513631626451,0.1563679626855514,0.18104416828925168,1424.9311272543628,0.02347906910798873,0.05509467194601421,0.05734723858388656,0.21319522225186452,3613.8738630010776,0.023478944234157913,0.0565714233787281,0.05358743049738487,0.14941643579403063,2925.796110650498,0.02347860636245811,0.04860932088014532,0.058368802105728014,0.060813036099695184,1251.6929731185742,0.02347892234171101,0.03432219455073065,0.03781358771990469,0.04261613165413851,169.60510048371216,0.1884581258195293,0.04425662851549637,0.05745302226415038,0.036799262003634314,1382.5376609455898,0.023478914161678882,0.04040177736169888,0.057306996940585685,0.009070280804815728,2156.3044056636213,0.02347911551919824,0.01824257900701394,0.012433180358796413,0.022941122459924787,1673.349645280722,0.023478812262118964,0.026111875684454028,0.04245190009431386,0.057004835481554675,127.2078423496996,0.1884588450188462,0.03993173529306383,0.06473058603041458,0.030112071830746098,1406.0032236723187,0.18843132200892912,0.041581248137432414,0.060532434519263545,0.014052539650936542,1547.5557186510327,0.02347898237686753,0.017408073828959654,0.024635457272241913,0.005070996675430329,1273.296701755291,0.023478891026561973,0.10217932902603329,0.10033047390689348,0.048366952707018414,1512.5420317714377,0.023478378420353514,0.1211901558032385,0.15336106679346884,0.05146463961375985,1424.371685741965,0.18843132190346032,0.0856220887809814,0.13981423350729394,0.03079735180874524,2341.4086687934523,0.18845776625022545,77705.73042134177,0.30544657150601473,0.4382829441152001,71.04225865634413,-558.0186702658896,5.064297343031239
4,4,2.6159849166870117,0.010068893432617188,0.03159335737498634,0.027486973874974015,1.4043860489453242e-13,952.3023373918794,0.016665240949439275,0.09174318813405258,0.08168210782352918,0.07129109614303038,952.3023373918795,0.016665062286663628,0.08376643396359815,0.10568003454822972,0.145884152452816,2702.6705402190805,0.01666504918997592,0.062455230881451475,0.08201645616886463,0.1064011483189066,2061.002023182482,0.016665097712988297,0.025038813553089356,0.04908355468925774,0.017583761363509663,891.9092558571198,0.016665189795426617,0.02104336263129341,0.04263171982801483,0.02785294781207873,276.42441577255573,0.13375864919632363,0.023364839327688267,0.031860165176541985,0.033355988432695,1085.5194974385392,0.01666520507915728,0.012402514234016032,0.027596733121487218,0.02019617742131734,2342.3421191237985,0.01666535891238286,0.034722060842227176,0.03390178579105552,0.00946908357855412,1152.5195104323343,0.016665054586158776,0.03475611806262491,0.04499604462821774,0.03177849887198752,138.9761057388313,0.13375902092176986,0.019597842426776813,0.036135781061481846,0.030271070448094375,1386.4177705786453,0.13376296906458793,0.033119774321371635,0.05162882009507754,0.02246990724453234,1840.8492627265439,0.016665328535620402,0.026731733021453992,0.03759619588119184,0.009221454788341289,1674.2726969677522,0.01666533506765236,0.06294907475487616,0.040353573902848903,0.052106904535521144,597.749639535421,0.016665454553506674,0.07350338131317947,0.14874648877823576,0.06879493671944799,1654.586799913695,0.13376296967186363,0.07188244620258233,0.14814967610754715,0.05378387081770074,1263.3761254544845,0.13375845622068352,90484.79106931729,0.20061416144797295,0.3994794529410636,118.51250497420341,-923.3253070318675,5.738454812697124
5,5,2.380567789077759,0.002041339874267578,0.05172707524051887,0.06101086425030821,3.599321567972043e-11,190.93836304980974,0.009398465798219267,0.13220872714556667,0.1065362626507927,0.009989769088662875,190.9383630498094,0.009398150009528154,0.13554649368660884,0.12728173447699548,0.06890897702654217,1072.5493346014537,0.009398088122030931,0.08474657097388798,0.09804456182933968,0.07264328753598197,847.2207188031584,0.009398349721944076,0.025651684575717083,0.04579246172747795,0.03801777535057607,515.9341100935009,0.00939842136690191,0.01170909266416798,0.035365166459683066,0.007379890992902082,202.37706705194609,0.07543586665494602,0.020289587676595267,0.02587989683428257,0.020825010697680606,926.292337638029,0.009398401449621849,0.01729116358662116,0.008828914419476369,0.019820347842102893,2082.974665327834,0.009398407815382042,0.03414212244718726,0.045727207750790026,0.01103469467714902,640.3890032761154,0.00939829370848408,0.036248411965009136,0.05614577224112896,0.0023693074022744127,107.26860811870782,0.07543594824939628,0.013367375852490464,0.024529219390611326,0.024803819534684624,1206.5765789005961,0.07544094121759592,0.027776962625957184,0.044358953783577314,0.024717328162170857,1929.4758576954375,0.00939852786019647,0.02714115733228394,0.04144942256386273,0.01312577936913276,2081.3900568274535,0.009398588353340188,0.058288827214600096,0.05595395127073672,0.046661476737174,227.12950302020428,0.009398494954112149,0.06568841616329898,0.14054552841302564,0.05701414932472048,1349.6872962584969,0.07544094136003693,0.06245695669924853,0.130127716667651,0.051798480838058,327.9831714591011,0.07543582643828063,96356.48631178547,0.157641052229601,0.34803487165023334,135.38895763730773,-1055.767581364477,6.11865904941227
6,6,2.595783233642578,0.008131265640258789,0.045879092855727235,0.10232600646152665,2.414377907434839e-12,521.7974827510385,0.002033669342054721,0.1277962636863863,0.14145898581571817,0.057365702681345096,521.7974827510387,0.002033695247787856,0.14899314798021682,0.13745286738918117,0.03141791788994498,593.0136097151977,0.0020334322151774093,0.10756067360957432,0.10864461822884376,0.04655127735665365,647.0734659139445,0.0020334715188635964,0.04204560745971836,0.052938250042558005,0.04859265619690292,98.36364947750252,0.002033640761807964,0.011607289333758158,0.0321618904895529,0.013405390042941435,78.471782049618,0.016329293254660794,0.036539485445037094,0.05203952667965198,0.006674681654357095,804.4416410636534,0.0020335881014442747,0.03562499750951169,0.04216194390911573,0.0065568827365745435,1548.5997027044634,0.002033511094218886,0.026848827854364817,0.04974097648324333,0.01816929508588046,237.66197689775262,0.0020335629669834625,0.03267014306785864,0.06314814210501106,0.0119135940899043,18.362400381827836,0.016329035406337386,0.017781559397316345,0.03306821121597781,0.018227772428956453,942.4952512173504,0.016334975606145018,0.018681771944897316,0.03275997300491492,0.020134286637232428,1892.0705450217497,0.0020337016834271883,0.018514527131977987,0.032721897736386125,0.01321265049207008,2359.1079631756033,0.002033763747112943,0.05172495531375024,0.08711966545941723,0.031430569287868984,883.7747903046036,0.0020336633272265508,0.06206735043241277,0.14397824259240471,0.025787419606004763,942.0139580189934,0.016334975269273855,0.055782052983944855,0.11538738853319173,0.025298145729586843,512.1491932440288,0.016329414998384643,96178.75458269668,0.16833387723870263,0.2747920825813456,127.74482709717788,-992.3157994562231,6.200963503667462
7,7,2.3740479946136475,0.008037567138671875,0.031207672430738086,0.11554544483489475,9.153888144891817e-14,986.6145456641575,0.00011361153546522482,0.09962479977434517,0.15131964456459987,0.07988572326825673,986.6145456641578,2.7443597252680205e-05,0.13568991941469338,0.13767451852161372,0.06496708913806701,1932.1535660801835,5.203212411816056e-05,0.11731147161045649,0.11502764891536456,0.04144816285544832,2178.217213172413,7.123919899976715e-05,0.05840701800305733,0.060420539476348616,0.05633314761722322,962.1748067163988,1.7799681525068026e-05,0.01607726192087461,0.03618036362133077,0.02684452578190515,52.75116218018194,9.986030103893999e-05,0.043965847641962034,0.07499090536216861,0.00560922883527043,600.891537968949,5.816494243052029e-05,0.041819042752040306,0.06570666035282738,0.005116525681957988,921.3140614864626,3.4350753562878535e-05,0.017982526556157653,0.046142176072512794,0.010819174082121451,33.78711084251122,5.467917925395587e-06,0.025013220785758638,0.05985711308306751,0.0161574898215143,14.415146287925184,8.383016623446859e-05,0.01936107288450244,0.038857705340073566,0.013369827359814603,683.0530525452738,6.141090513988924e-05,0.009824527933870834,0.020033927997628695,0.012472416490757109,1761.5778663991211,6.816570592372091e-05,0.004565040831956271,0.013089390748437455,0.008505568809629879,2427.583573581233,6.97280511377872e-06,0.03783149777671484,0.08443267949007013,0.01987712110095343,1349.873469155563,0.00010538198683623488,0.049699603404622754,0.13331526372882624,0.009409318991870466,619.931346417011,5.668673681339839e-05,0.044791663780564546,0.10485246315868312,0.0038655340283493722,1183.3449028481614,5.446125602661023e-05,92761.66614185846,0.1663470106373585,0.11165114095657484,106.6040096413084,-829.6490245015888,6.200690338838519
8,8,2.445396900177002,0.002051115036010742,0.017046523597013655,0.09974457634423944,3.6544250227795957e-13,1241.3304240093562,0.00013251351824726564,0.06505293399549662,0.13721677295241091,0.08644462428697408,1241.3304240093562,7.593675953750613e-05,0.1065465801638584,0.13036155154959025,0.08877732778431217,2835.329662574507,2.3711311258108264e-05,0.1093672512183899,0.11398262535944487,0.049225810008691646,3496.510035613015,9.097426642048761e-05,0.06622160883853896,0.06291892372633483,0.057271684372805956,1938.3369088624681,5.877524394958568e-05,0.021603262217304006,0.041866056823088,0.03126242125157753,189.6177140348226,5.6209078087227924e-05,0.045168824451346117,0.08793142510946711,0.011630568890960966,307.8006794836282,9.18208839658932e-05,0.04072288436066138,0.0773259684455638,0.006508043222641801,310.47080570452977,4.069110339401376e-05,0.009306580267863466,0.03606992821634778,0.00229838361206288,172.19390972606445,1.732208149985572e-05,0.017235994314006985,0.048285765075890746,0.02550418949825564,110.60377629965183,0.00010470532230856068,0.01852980896973403,0.040676815571662986,0.011136551622459672,501.74324398286154,8.735304086964379e-05,0.01771224059569756,0.028379418673292873,0.00518447505078172,1550.9971092939368,6.38664451860344e-05,0.010799808418306212,0.012156297386386574,0.0024346727692812946,2265.586447311376,5.815825968348013e-05,0.022415846011199832,0.06546764449961717,0.01807133518538869,1615.5597425447095,6.125942846558208e-05,0.03066073086013565,0.10610369614332828,0.025849682160492007,415.63073343265495,5.666373739634651e-05,0.02741647919619296,0.08901787694339132,0.02045621325597696,1594.5005160234623,0.00010573291506909852,92848.45981174897,0.14491088943111785,0.0839773718099847,79.86670413858876,-620.1836088653085,6.200426109414283
9,9,2.4023005962371826,0.00804448127746582,0.00633707599573524,0.06993389480654938,1.0849033886804871e-11,1335.983113017899,2.8991439075154826e-05,0.03372040842652055,0.1115790511982026,0.08618911765984272,1335.9831130178993,1.5027274689839453e-05,0.0697165066868307,0.11553266344967845,0.0951111245492428,3323.764482178261,1.6122150558806608e-05,0.08519440979376632,0.10425290817696799,0.05336909207984635,4421.110616386421,2.8831403380836626e-05,0.062259685041311366,0.058815886497867315,0.05038469146782365,2820.428751571699,1.6995304074846946e-05,0.022945780783907015,0.04616231122246535,0.027899835769530385,355.03090370111283,1.4128795830191673e-05,0.039530777082640904,0.09116824471645353,0.01550727013820721,11.553701477227944,1.1379783746119001e-05,0.03402939865254192,0.07867051852751496,0.0005304847074171444,200.35872030883166,2.378007602146701e-05,0.001010384219537514,0.022187258681542765,0.012888744426271692,157.31847427145703,2.977500188557684e-05,0.01801012929533882,0.03344765648405471,0.03505789836577296,368.4821656175499,2.421954188595574e-05,0.01874019379377657,0.042468013860869555,0.01074853224355392,423.63276291126516,1.330739288045257e-05,0.030359784780701633,0.05050269559620103,0.0025554419105464905,1281.0181657527905,2.836082149816701e-05,0.024448573534780985,0.03704805593768983,0.001756953452520642,1898.8578443529477,8.882907806427558e-06,0.008829654575965866,0.047598635013067714,0.017889446916176215,1705.8444405038376,3.9409934398864545e-05,0.009486788957750866,0.06664473607209474,0.02795313959874142,320.9317935716168,3.5040350236135256e-05,0.0069520388652035085,0.06169159875180584,0.02251184109877048,1698.7151602307056,1.2603441698449642e-05,93466.06921111912,0.10901725560534757,0.13310489715529922,52.79586807572779,-419.1407687601833,6.200380427770138
