,Iteration,Local,Global,P0,Q0,U0,DA0,A0,P1,Q1,U1,DA1,A1,P2,Q2,U2,DA2,A2,P3,Q3,U3,DA3,A3,P4,Q4,U4,DA4,A4,P5,Q5,U5,DA5,A5,P6,Q6,U6,DA6,A6,P7,Q7,U7,DA7,A7,P8,Q8,U8,DA8,A8,P9,Q9,U9,DA9,A9,P10,Q10,U10,DA10,A10,P11,Q11,U11,DA11,A11,P12,Q12,U12,DA12,A12,P13,Q13,U13,DA13,A13,P14,Q14,U14,DA14,A14,P15,Q15,U15,DA15,A15,Cost15,Prime15,Dual15,Flow15,Relative Surplus15,FLEX15
0,0,3.7225048542022705,0.008017778396606445,0.25610953896911753,0.37762612447382965,5.451275409937052e-10,64.02738474227937,0.03784542923829939,0.25613153943610384,0.7351982044974641,0.2800014973438078,64.02738474227938,0.03784563085192778,0.18292501467957303,0.44611693550201287,0.17203364127240187,0.5934441530797431,0.037845586476529754,0.2469261051393177,0.23788073895147893,0.3135643454049332,45.72740301238745,0.03784601356562427,0.22208010284521829,0.3171733514559151,0.29806924859055356,41.470302038896286,0.03784591302997721,0.135479355807081,0.1927087096406695,0.013671301171355574,33.84708260694616,0.30375266777787074,0.03770543719534318,0.05659934542495472,0.004089353487299633,1.2413660287827857,0.037845769399769455,0.03737705392635051,0.056334269665953944,0.00011682326710596608,9.344263481587626,0.037846196843560935,0.06062265815188199,0.08548106546724898,0.0011507477955856604,15.155664537970496,0.03784539006628448,0.09275532616465408,0.1309347519033662,0.03581156755301604,14.73303440521326,0.3037526674924618,0.04826044693031659,0.06918253963441864,0.00797163379348646,9.53758029438107,0.30375266098092596,0.06013462068638307,0.08853027404575076,0.007742259761508416,7.38928164626663,0.03784567247085703,0.05236935051277153,0.07694970596313257,2.3595641065732247e-05,13.092337628192883,0.03784572719943015,0.3174587405070509,0.4469275220937744,0.20621114261019366,0.5934395256297347,0.03784584850966492,0.452838093844636,0.23307591699998345,0.151403677079371,79.3624664107638,0.30375266505597825,0.32293640556625014,0.23138022805555383,0.0003529171114837797,80.73410139156252,0.30375228807099636,0.0,0.0,0.0,0.0,0.0,1.5309540317269403
1,1,3.476040840148926,0.008024930953979492,0.08408674095699188,0.11751859105767243,3.6395830319451254e-12,85.04748539535977,0.03437615639200174,0.11244545525636816,0.12800847640804117,0.36001042085213925,85.04748539535979,0.03437625160246075,0.07359449976918608,0.33777066398981187,0.2206374048590996,2.5101074235231504,0.03437729098976571,0.07337126242196036,0.36223911874431264,0.14555740339128595,64.01905807181933,0.03437749916881435,0.06332149483761634,0.16189051960933104,0.12247242417165348,40.10156044598938,0.03437631425190336,0.10702270817983812,0.15462829711773424,0.04646102474902195,18.094512393418967,0.27590885246932395,0.08950910750541786,0.12842580400524956,0.001543392200165971,22.866222167869868,0.03437632878508461,0.022987821252525225,0.030871336550714668,0.0009994997765072665,15.089769504629668,0.034375799319626865,0.05265972090085339,0.07343842291710206,0.009521478738611727,28.32058501711057,0.034376450435684554,0.055812472153791266,0.07772126261265377,0.053326023438222944,13.976281126297783,0.2759088511506029,0.04877740487864329,0.06979498162273035,0.016849057848853086,14.098140561848464,0.2759088571949882,0.04665016718281129,0.06730120883181061,0.0011347206152765733,3.9238157201177923,0.034376499326188165,0.011392256641176738,0.0165619148766648,0.0007979061632115463,15.93973207640463,0.03437617637044511,0.17850978676699006,0.12346032637574265,0.176479873080546,19.150433894771982,0.034377493236145,0.162344700807539,0.17256171645296808,0.019430295552350253,38.77715575011917,0.2759088595955866,0.0008143861018852585,0.1281843727796671,0.013739302490338374,80.88478532225697,0.27590853133403764,717.9859537008751,0.0,0.0,0.0,0.0,2.921570279791352
2,2,3.4287772178649902,0.008020162582397461,0.0835533597915717,0.2070168584696415,1.5843551912937482e-11,64.16183045968589,0.02949054264944949,0.12295853668902465,0.25102145164285083,0.30849190893522804,64.16183045968589,0.029491235539187387,0.06798267014149724,0.10476535534227424,0.23547402469816353,11.061973851008693,0.029490733904622604,0.07131619337823247,0.10042816350109833,0.11053813263688096,49.38785380768896,0.029490459039374497,0.07557667091154019,0.039428107454286876,0.11970338826380632,29.913340957941042,0.029491036687577184,0.0577855279577131,0.04546321870653955,0.06323411294713824,4.579058173223125,0.2366953899775282,0.05084751410518548,0.07104709077501263,0.01744353079944257,27.964202373286756,0.02949053119874019,0.04657854522620433,0.06496297746446487,0.0028234313375076836,26.734304691363455,0.029490808582663883,0.01744598818640565,0.02359385634235713,0.01834159153222765,32.68194664638673,0.029490681770361665,0.04555915500907735,0.043312661324760526,0.07114265321843757,5.582281985283675,0.23669539348343863,0.0580070150633452,0.0831296991347616,0.02229445842066614,20.439908533417388,0.2366953908416331,0.05274215997119759,0.0758798038248049,0.005603627111898543,16.963128160568985,0.02949067527248914,0.0077757632756532725,0.01063291455422356,0.002040722543005684,17.883274162649915,0.029490923655770895,0.2212121171766975,0.1378595039221004,0.10161621118605899,2.4521535303613073,0.02948997876876478,0.22057524649921076,0.04665389101887148,0.01925912341656059,12.455157805500525,0.2366953863568174,0.08160754181884147,0.046641740399159914,0.012504856951537635,60.48386866138858,0.23669512909906693,877.3807956154006,0.6966702471268768,0.5481143801150047,184.7173881848121,-1425.065930707348,4.114522859608407
3,3,3.4157261848449707,0.008034229278564453,0.136871991032114,0.128216704509217,1.4304762048158015e-11,30.093723470252822,0.023477412459043872,0.17672721051580897,0.1563049987104593,0.1815646739195832,30.09372347025282,0.02347728437895996,0.10667895917422192,0.05761811224303431,0.21593523465390155,6.162522131859016,0.023477260122064084,0.11903211247846585,0.054208894488846394,0.15301592485848792,23.203035750084094,0.023476938231967785,0.06462222789246339,0.05868147466540736,0.060719450229352136,15.792083384617754,0.023477392854973696,0.0332401762234298,0.03781573140034272,0.04253105579721508,2.569702015077014,0.18843059821618233,0.044440868797792035,0.057456982080104566,0.036755567100260504,23.717592944569862,0.02347730716665604,0.041063530015471736,0.057310557342896605,0.009080277155249995,37.0000447566307,0.02347709845922512,0.017927516281319514,0.012439005723350098,0.022968084411184753,28.200782557137046,0.023477404880229605,0.026175907764892873,0.0424548476879618,0.05695811161651304,2.3354584555427067,0.18843059623000635,0.041159559623875686,0.06473265317420894,0.030042308732756706,23.926133497243157,0.18843059943108922,0.04261510600064815,0.06053486382207826,0.014022363336716791,26.643905632928877,0.023477243613944352,0.017789932357456954,0.024637251299590393,0.005065915542027766,22.33048330095132,0.02347733530708805,0.18423183810557126,0.10052837438749737,0.05130123694483988,29.236996555247995,0.02347663088039558,0.16179860310325853,0.15382409132571737,0.05594017473300127,49.40383874912136,0.18843059711242513,0.06582981431724348,0.14018180124024326,0.03389560934382058,44.02715660351109,0.1884304171584787,1138.5443375187942,0.35672269302364357,0.4094629679969763,184.7112425844579,-1437.2617578143675,5.064215655394279
4,4,3.485909938812256,0.008022785186767578,0.09293360447493865,0.027368367958195142,3.970269239813696e-12,7.283994758276789,0.016663180548576788,0.126271676564092,0.08217326730473472,0.07365670454910266,7.2839947582767754,0.01666320781192263,0.1304637775908123,0.1060327120851188,0.14887687934818114,9.198405909430523,0.016662905618463314,0.13112351418601076,0.08210553716886629,0.11016810619406514,5.7535782702549465,0.01666301139262236,0.06232378836612785,0.049579794863077536,0.02215177069257261,0.35038681059914106,0.0166633219576354,0.01897714181644568,0.04296929353966779,0.02753468246557114,2.5115126584823377,0.13374152435523798,0.022527722721963274,0.03185968834875298,0.033365687800882976,18.976072053156415,0.01666342386889252,0.012145129516801684,0.027597137095919225,0.020252543814379773,40.032051884997855,0.01666327717217307,0.034223214601123216,0.03389982912091512,0.009490860396342008,19.646242728716626,0.016663609245833627,0.035142692549337204,0.045227498974329865,0.03171329509734555,4.32473391847311,0.13374151925767683,0.02027387613670087,0.03613347855285755,0.030208642012651398,23.804240660596214,0.1337415207392532,0.03376082419325015,0.05162923155130464,0.02244639852295389,31.71002729698812,0.01666332472447512,0.02700229264914777,0.03759849944617383,0.009223050363238878,29.080583434949762,0.016663317126750378,0.09552768183932411,0.04085782476675135,0.0569178649608817,44.28149658500299,0.016663809078989403,0.07716539653194915,0.14969433471418211,0.07764554480259205,67.88270017247117,0.13374152373894332,0.02210709389756471,0.1490578083392093,0.060066106859207505,38.50635519536327,0.1337413632945565,1384.377236661573,0.20911407226864087,0.3586788127972015,183.91880872748263,-1430.6278038444689,5.738276024347497
5,5,3.536092519760132,0.0020487308502197266,0.01457328117119513,0.06170175923638685,2.115544701349983e-11,3.9971453996808815,0.009398129430674654,0.07005141896396057,0.10741694017148411,0.004896078026440926,3.997145399680876,0.009397467920995979,0.12768994957760615,0.12800470650464796,0.07338735399416843,25.935072107155094,0.00939745055139427,0.12775900923768962,0.09889997903941151,0.08142831519956693,32.85713473769387,0.00939773732297123,0.07216600605479999,0.04755617893167357,0.047339267154008394,16.485234003851833,0.009397910914039891,0.02317019356965373,0.03626174400125026,0.007012591700646184,3.0246552286102344,0.07542916140927086,0.01819732472989562,0.026063091791776686,0.021013019239248306,17.200224222515555,0.009398106620304372,0.01675359676852946,0.008829529064053172,0.019813489466145636,35.846087568580394,0.009398049864492695,0.03127294546162649,0.04586586135440456,0.010562478269038831,11.831134093649057,0.00939824512997881,0.035429780462653604,0.05676393839268671,0.005964084576733303,7.7953195781286,0.07542916511302473,0.011168071043604582,0.024645454572042237,0.025020019168684484,21.510095119357864,0.0754291447655353,0.028103933561054416,0.04436008995022283,0.02470065005947221,33.29762374470153,0.00939802904993946,0.02737668773811646,0.04145020490735955,0.013125989823940677,35.92441535334841,0.009397926106149791,0.019543770751018853,0.05599640830630931,0.04696513370507166,47.59457235706425,0.009397803815170712,0.01772597986335877,0.14168941981945943,0.06523825607951925,71.39707469513809,0.07542926518865453,0.01077374876900813,0.13145475927053354,0.057831397515378885,41.15861739125567,0.07542913230803858,1523.570261397206,0.1526557756544158,0.3223948357608566,183.5835356493295,-1434.0473557262483,6.118438302498092
6,6,3.5159661769866943,0.008037567138671875,0.04921587578283842,0.10368593842345679,2.0674784363419224e-12,15.702319152549181,0.0020357331233772603,0.07840611497458881,0.14304217016020498,0.048889480628569175,15.702319152549178,0.002035105081530035,0.10821346973771444,0.13896029200920676,0.03255993071786694,41.160264762235116,0.002035309083080631,0.11307400581504969,0.11080260263179352,0.058376417640012564,55.213948906088724,0.0020345824920662897,0.07793833874082597,0.05565760966424073,0.0644172444946915,33.78279859653917,0.002035129000648083,0.03235907275804886,0.033354366146501446,0.019508483276669417,11.089941814370182,0.01633215022027596,0.03377352739327361,0.052526272032679865,0.0069996371304956164,17.698085737025036,0.002035267629910078,0.03371460813004066,0.04226861550134476,0.006883225441402701,27.418940191261775,0.002035647418907631,0.018486793139533886,0.05033153549248125,0.01629527278957877,7.21595506277076,0.0020352989659909587,0.026428319797307132,0.06432799699258736,0.016214458979931,11.698766894431985,0.016332025737830137,0.01068545372698677,0.03359591239902566,0.01951941247283948,18.856789514103095,0.016331629672242463,0.018743030784794463,0.032764324587223906,0.020307972033376722,33.00755281329471,0.0020351982676493777,0.01870637256662557,0.032722499935137365,0.01320867614746387,40.60087976936353,0.0020351564076175003,0.018944102587754162,0.08782865325875568,0.026302964493804818,46.95700188711585,0.0020350000435179864,0.026661905166541017,0.1453584838981065,0.02772963272355918,66.75724381031601,0.016331996521610968,0.01911824849739506,0.11667909545422564,0.026500075946517605,45.92572788946312,0.016332476703406568,1549.9050104332719,0.12833763743750085,0.2623139977542045,183.79194082244882,-1430.8518458338015,6.200750506217545
7,7,3.466703414916992,0.010061264038085938,0.08118533455725606,0.11892154203259354,3.4385806572418884e-11,35.914982410825566,7.143420982313533e-07,0.09912685795436615,0.15476535952685053,0.06920262897616777,35.91498241082555,4.826627602305903e-06,0.08797396975977696,0.14017595775678363,0.05810884506284874,55.25450998206325,5.5531887534183096e-06,0.09203779612129358,0.11825098286684677,0.04831622848562534,72.09689769286055,3.0696882622792418e-06,0.07274507735025343,0.06326448942541447,0.07305105804128789,49.416036545108426,3.349452330267363e-06,0.0322808314754982,0.037544971705256745,0.033344305634584556,19.116564198984797,7.143483784484532e-07,0.03535705006553956,0.07601948151301502,0.007720791327757587,18.52335790569529,1.8199129081966605e-06,0.035202412928566115,0.06619032547376065,0.003628543201863985,18.620438258779235,4.433856087903949e-06,0.003050715270974152,0.04744043083080496,0.007556000868779744,6.460062476195633,7.987634861173226e-07,0.019697892573462855,0.06175650699040588,0.024659862904417774,16.37702960464913,7.143431868491206e-07,0.007147652478852435,0.039911267510493356,0.016776155547187113,17.526420545147598,7.143472822602989e-07,0.007075622480469679,0.020241030479596855,0.013386008114592925,31.817321566335327,7.196085039717374e-07,0.005231633036703245,0.013046654049446854,0.008633759176223629,41.908765355906105,1.14742549874437e-06,0.02567558347775904,0.08596482014758984,0.016924503265287518,48.825339853080806,2.8765526487873894e-06,0.026188228054293463,0.13487423258548295,0.014311672725402418,60.61987910290111,7.150869483545862e-07,0.009099450103270392,0.10566153940942265,0.009176709309193629,48.19594926330281,7.152158920207778e-07,1515.0659619490848,0.15426981743155943,0.10764373779086102,184.5670797186367,-1427.6594430558418,6.200749951446182
8,8,3.4744551181793213,0.010063886642456055,0.086779780829885,0.10428929260233713,2.9762453876697444e-11,57.58345718858208,5.44223983899184e-07,0.10602743676338683,0.14199537611935925,0.07586001120524113,57.583457188582074,4.2701993695604825e-06,0.0739580149294835,0.1338674639729485,0.07735939453638478,68.8991296674651,4.403161012783779e-06,0.0707755761249631,0.11740615303882337,0.04784038312313298,84.5676011269348,4.659187879971997e-06,0.059978127865118344,0.06522010105937999,0.06932705239214364,61.96810866455967,2.6336611712472156e-06,0.024677873688967046,0.043526462263831917,0.036514122850497314,25.28211831108742,5.446918826373527e-07,0.02637994447928631,0.08972778820700684,0.01542049040974191,18.73071587248657,1.5816912755175139e-06,0.02636648684855528,0.07848275896887945,0.0035095051265096287,12.032050657166657,3.288185994706308e-06,0.01155062270060589,0.03804995976695742,0.005696399078406949,9.344392204623599,1.1590747648304468e-06,0.024749018359501256,0.05084412405598742,0.03557011972758591,21.785818538014805,5.442270349198023e-07,0.0070683684070622765,0.042240458971426025,0.016447737403698728,18.3512838207896,5.442399824860223e-07,0.010409859207099111,0.029083654777800002,0.007624006249370211,30.255244651876755,9.847469487776835e-07,0.008324262731092776,0.012376426621377523,0.0030878826154813518,39.82815999282669,9.765911237378756e-07,0.030448204221365942,0.06715118812590594,0.024608294876873046,55.567724823939855,7.111043084466342e-07,0.015059807200514452,0.10726582064318997,0.03802294348662381,57.10698700796766,5.442468444533057e-07,0.005413375952772068,0.08911746378772835,0.030036258117066447,46.84970605193611,5.442362069231299e-07,1539.230564297349,0.14863698201674483,0.06324122417070639,185.15893089766615,-1424.4830586837122,6.200752583973776
9,9,3.445429801940918,0.008011341094970703,0.07829840454484972,0.07505814408696918,5.222563341578673e-11,77.14433768064528,6.557283485249498e-07,0.10403285056891518,0.11693046550687444,0.07812389014244485,77.14433768064528,5.968631946978721e-06,0.06549063087328462,0.11952354349254254,0.08015901602745723,82.24514660465297,3.892815148002015e-06,0.0523868735839881,0.10698036748369422,0.04689453709882388,94.04676706311383,3.4010710471278186e-06,0.04520428628570365,0.06000927881523571,0.05554356118712955,71.00521437109721,1.9459758750932417e-06,0.015270559057999051,0.04790618546516678,0.03099425691147958,29.089771716159373,6.511421151920035e-07,0.013695967628097237,0.09370195565094536,0.020464792223368968,18.458907319205526,1.1600650864785038e-06,0.013651898142342812,0.08061308372206256,0.0044348904370795595,8.622727296698912,1.7602083826335364e-06,0.02302207537955116,0.024522050822083547,0.014831115401447744,15.095659220057934,2.2131814901010724e-06,0.03401230834700462,0.03627784199376647,0.04281628870107319,27.401854763768682,6.520210743523858e-07,0.012768978302570896,0.044368645957051006,0.016566227422310262,21.113012030986756,6.506711254626976e-07,0.019437198774983257,0.05168618396393335,0.005536473686384989,28.655857141468534,1.5474872443673212e-06,0.018353390250067176,0.037649501901360426,0.0002158605114169248,35.240498961711346,2.121671352184354e-06,0.04294853165812638,0.04816111402033771,0.028889568576041334,66.28961525719556,2.0956622299239277e-06,0.01294833643627509,0.06671425151997513,0.041489364558340354,57.58023858342559,6.46180588607138e-07,0.012803439723586428,0.06116928440597228,0.03198177037245378,43.656769147569705,5.845224460485291e-06,1578.1949590854922,0.12239564003104778,0.11727331982054369,184.9856654060122,-1424.4830577662817,6.2007556779374635
