,Iteration,Local,Global,P0,Q0,U0,DA0,P1,Q1,U1,DA1,P2,Q2,U2,DA2,P3,Q3,U3,DA3,P4,Q4,U4,DA4,P5,Q5,U5,DA5,P6,Q6,U6,DA6,P7,Q7,U7,DA7,P8,Q8,U8,DA8,P9,Q9,U9,DA9,P10,Q10,U10,DA10,P11,Q11,U11,DA11,P12,Q12,U12,DA12,P13,Q13,U13,DA13,P14,Q14,U14,DA14,P15,Q15,U15,DA15,Cost15,Prime15,Dual15,Flow15,Relative Surplus15
0,0,1.1080408096313477,3.8256068229675293,0.013308822283571716,0.3776269933066304,6.526751786450488e-15,199.63239971045138,0.01391813900567583,0.7351952907854105,0.28000288927176564,199.63237897241018,0.18323795986711042,0.4461132955817428,0.17203386725913788,43.201360052543826,0.2471539490936442,0.23787995119733488,0.31356378474845337,2748.2298650730418,0.22208023184641498,0.31717229225063787,0.29806863091967634,2488.246978338551,0.13546696468139977,0.19270815410025205,0.013674454872390883,2030.802195744928,0.03736069443587142,0.05659898014405751,0.004099954231740791,69.89496262199116,0.03706896127814471,0.05633389319902967,0.00011595626131035553,556.0344339835257,0.060619276099186374,0.08548084255143726,0.0011500365170264326,909.2890952264066,0.09275217876501181,0.130934365105459,0.03581148038584164,883.9607070627061,0.04844716269580372,0.06918213461339823,0.00798577829026841,572.2539824565571,0.05843060535973068,0.08852943962466214,0.00775700044585192,447.9164661665836,0.0502240169866332,0.07694904257396475,5.129210388418584e-05,753.360281128189,0.3177665413137278,0.44692567158599145,0.20621156839119772,43.201360052543826,0.4530502836107453,0.23307517397206093,0.15140319849391937,4766.302281560502,0.3229354075454009,0.23137950485560738,0.0003529168573446696,4844.031097008553,0.0,0.0,0.0,0.0,0.0
1,1,1.0490057468414307,3.7744603157043457,0.00074340543221335,0.11766246230795288,5.982855804246281e-15,191.86045288225066,0.1785039574134358,0.12815420024406876,0.35959419101937934,191.860422259013,0.11481481309462678,0.33776737260846756,0.22047707186900004,1363.4935776743473,0.07387987009491048,0.3622353022465136,0.14559353278148476,3854.0674661452435,0.06363388722897292,0.16189447720869288,0.12251888405440227,2415.9560478514695,0.10710870596751086,0.1546297227140464,0.046482026905385554,1080.2764531296007,0.08883133773449413,0.12842535859115123,0.001634070359933039,1365.078018072732,0.020840162310193644,0.03087110176155453,0.0011256540383320214,868.6368664249383,0.05205172369405473,0.0734382007867584,0.009627660951479329,1690.0647367643537,0.05519978956782507,0.07772113198063899,0.05334731495709063,835.4512245027468,0.04772758881002714,0.06979652578236664,0.016763183542034838,843.5701645169485,0.04532117698520157,0.06730255835707029,0.001220241233610529,214.6693326177841,0.010161391718040952,0.016560176074840713,0.0008294118433883995,905.7811157953315,0.22447064574245615,0.12347123007162214,0.17627085633922573,2372.5847882593694,0.16208603624795373,0.17256459690286644,0.019396740185277643,2335.0473782419367,0.0007003547179403306,0.12818651868810962,0.013712743749274918,4850.841436659027,-4.09942842,0.0,0.0,0.0,0.0
2,2,0.9866020679473877,3.7563490867614746,0.08229627679026444,0.2070485906524462,7.614543750858903e-15,1054.2420305343476,0.14285663603391896,0.25103671341802314,0.3079386448172389,1054.2422125760493,0.11808955004711395,0.10473341555361838,0.23517331262130706,3114.9615073095533,0.04401123565883898,0.10039879085157233,0.11037471007716412,3589.4747167290093,0.07585115342364326,0.03942668540927967,0.1196895951555263,1811.1309325760026,0.05773963457763015,0.0454600945942892,0.06324554236241382,263.56575102263054,0.04933211735811809,0.0710496702028577,0.017532788816462648,1653.3372155211362,0.045434849094609334,0.06496734743799396,0.002847698481543819,1550.1596633176564,0.01712269593907537,0.023591765977748952,0.0183140574687521,1946.9041567372487,0.045353517759976446,0.04331043740877079,0.07117134492651428,323.91462151947934,0.05666903938778861,0.08313008789435904,0.02236945395493742,1211.1954090843972,0.05158362213509942,0.0758813415289926,0.005611078697770234,981.0367330032718,0.007086524722726732,0.010638287167855738,0.002082414438667946,1012.0790009981437,0.16428967713862225,0.13784268521183174,0.10129540622418516,2356.352489367439,0.18355930442159166,0.0466494715105395,0.01910916340422432,129.5946255148088,0.08187962580725715,0.0466367063553546,0.012475302766913677,3622.695683016358,-6.4493934,0.0,1.0,0.0,-96.55309397049618
3,3,1.0560674667358398,3.843433141708374,0.025258141355626127,0.1283062904597536,1.4141295537309392e-14,1432.777498725504,0.07011860402497098,0.1563724089888867,0.18105142069754407,1432.7776743517438,0.055035437631586255,0.057344002787071746,0.21320787506971578,3631.710213138363,0.05615095580852205,0.05358248490137469,0.14939338035080163,2945.701350350276,0.048631289350298146,0.05836546294529482,0.06076330191180612,1268.0262755538981,0.034638653789554164,0.03781458191772963,0.04259613391978987,178.3067271354525,0.04432064438543082,0.057456315683583635,0.03680437237312103,1380.0037470755174,0.040401196595913964,0.05730998689251703,0.009071526910025544,2156.1776431292974,0.018345488861970693,0.012433366197826383,0.022903617276630577,1671.7229964377404,0.026243527218598208,0.042446606881292474,0.05698448581159716,119.19151043209439,0.039899211768475724,0.0647360759543514,0.030126537606833897,1404.3471386166132,0.04158212545360578,0.06053968458688374,0.0140345063036207,1547.4760273368083,0.017407066958648996,0.024637475598172656,0.005060045575751545,1273.1850062993037,0.10232813552246162,0.10032950436419943,0.048338481105451366,1522.4808847857819,0.12147981285104982,0.15335184816817035,0.051436840924222946,1417.8516814790755,0.08589544996972645,0.13980126981689808,0.030769021307847397,2334.318139047062,-54.31354639,1.0,2.0,0.0,-547.5614661200527
4,4,1.1526951789855957,3.813767910003662,0.031654567576097525,0.02748161069559813,1.4141295537309392e-14,959.1916475647472,0.09171107700024642,0.0816707335959016,0.07127442965756017,959.1918265725744,0.08357497657945578,0.1056697701455951,0.14588349641171133,2721.3089957047514,0.062192307525265854,0.08201098395594539,0.1063903362016172,2083.991471119985,0.024924456454908074,0.04904710687809774,0.01755898775114148,910.6617146542842,0.021274180229479262,0.042577658151324214,0.027841241038420266,287.73224910922175,0.023476014748583802,0.03183354514277713,0.03334499920104506,1080.2418585386015,0.012318810365158925,0.0275894556322123,0.020201429239257176,2340.959799683493,0.03491206973322765,0.03389873070872692,0.009439233365111547,1148.043089474089,0.03494869830584209,0.0449903973060408,0.031751791702955515,128.64727304509748,0.019552397319092103,0.0361331977480888,0.03027024171916844,1382.6450643688781,0.03308663404090412,0.05162907644228777,0.022458702752336353,1839.9279586822215,0.02673156911651718,0.037599634173555496,0.00920148112758414,1674.1586347944963,0.06291455104668559,0.04034900940304341,0.05211208493363935,607.6870504534528,0.073605396581161,0.14866384814996295,0.06879863302990778,1647.1609536017215,0.07199951498269315,0.14806667964243447,0.0537937904826406,1254.446198158006,-93.28506516,0.0,2.0,0.0,-914.8768848293689
5,5,1.1000258922576904,3.722177028656006,0.051786916809965285,0.061023694619227964,1.4141295537309392e-14,195.77729891524717,0.1322881054501133,0.10653878010403323,0.01001601683412919,195.77739956144478,0.13559971765279086,0.1272681158844718,0.06889419129798548,1089.598293813625,0.08470245694525604,0.09803584647648562,0.0726068039242382,870.1060815044794,0.02555659232732232,0.04578109328374988,0.03796656926705948,535.602149182994,0.011841061219592863,0.035341687348322,0.0073773461311217245,215.97117464624841,0.020542310034582515,0.025856473085123344,0.020814378429620486,917.7682472406015,0.017454603603647565,0.008805685993311763,0.019813271116353323,2079.1408050719183,0.034374234388894705,0.04572149491110396,0.011059478043062801,632.431377521617,0.03652818510708715,0.05613060093170532,0.0023244811083662077,94.9673238290287,0.013470204361160944,0.024525100944998015,0.024793808061588287,1200.3899174564376,0.02773108998398445,0.04436134767559995,0.024704397044286654,1927.0897994717761,0.027115240811426296,0.04145179534414466,0.013112476555660245,2080.8872486882897,0.05831020495411859,0.055912381827891995,0.04666952764966699,214.99915483915117,0.06581147319520242,0.14051418800812365,0.057039493660092824,1340.0227819748673,0.06254076610648163,0.13011155607083255,0.051826358089716376,317.2579353777564,-107.62267296,0.0,0.0,0.0,-1048.2635601259467
6,6,1.0994291305541992,3.8603477478027344,0.04611581826189442,0.10231543819208866,1.4141295537309392e-14,518.4766570861693,0.12849572444670554,0.14145203219356214,0.057395749837812315,518.4764736442789,0.1497635081386557,0.13744158439628879,0.031410001669369324,584.4833145508351,0.10796448688211956,0.10862493072838833,0.046497160115119306,629.5906466268727,0.0420327416217478,0.05291426393187067,0.048534190836632636,75.90521555399708,0.011669654406225301,0.03215839383805017,0.013393561827167829,93.39836710241205,0.03683102661241356,0.0520109857568449,0.00666752586730759,792.8024080100492,0.03587641643841769,0.04212832097875268,0.006546015557733443,1540.994497930665,0.027071121426101276,0.04971798241701733,0.01818673071210622,226.36905731672817,0.032969652504986645,0.06311779055173768,0.01190879743013769,2.8013637808540706,0.01797036704976687,0.033056189312507527,0.018205555045643796,933.7321429875634,0.018625705024117804,0.032762490359158694,0.020120994519184365,1887.7446888917211,0.01843999240478096,0.03272462483151341,0.01320629865055522,2357.4871659822506,0.05194002557901328,0.08709193082536057,0.03143587870006079,875.1867785609799,0.062205283477538294,0.14396591542966142,0.02580854971178056,930.1206171847566,0.05587093498670811,0.11539598127106328,0.025317929741059366,522.8963214983514,-101.97054198,0.0,0.0,0.0,-992.0284186080128
7,7,1.0719623565673828,3.923625946044922,0.03134054308340184,0.11557312847005206,1.4141295537309392e-14,985.6975307089432,0.10004867387103952,0.15134256926888678,0.07993158043333512,985.6973702576729,0.13650266930984448,0.13766616139682078,0.06504453713695577,1929.4521404431466,0.11823468481511232,0.11501225874597718,0.041439978134895916,2172.822587862015,0.058911932835146855,0.060405597177802084,0.056279507795240435,949.7815916157664,0.016191972410575167,0.03616676996421562,0.026836815894144633,34.70874742387941,0.044315929180975405,0.07496193656781963,0.005613119612398901,586.4555120627884,0.0421267120474892,0.0656811433016092,0.005129289532257403,909.0938175154008,0.018781472795891135,0.04612537088566756,0.010785317673253674,55.37683255504861,0.025715658158011367,0.05982631347166154,0.016130706389569965,25.79192135474189,0.019580884584597686,0.038827967302457904,0.013320150339742947,671.7551850536355,0.009901252546539771,0.020027539427280156,0.012455832377004221,1754.95189297346,0.004434084233051164,0.013093406411292462,0.008501462972880411,2423.9984575009667,0.03798892695583033,0.0844220499114006,0.019855737176245315,1344.4573192510068,0.049793316769030024,0.1333233090009056,0.009387324749791957,607.9110660063133,0.044900174428598456,0.10487566203969151,0.003848695172927169,1195.9966934027825,-85.08305267,0.0,0.0,0.0,-829.1592089479124
8,8,1.038935661315918,3.8527004718780518,0.01709603474690152,0.0997482899355699,1.4141295537309392e-14,1241.4674592238086,0.06542312272336594,0.1372314290185038,0.08649766162507318,1241.4673231981726,0.10718136200091544,0.13037968718608023,0.08887409107852326,2837.90567241513,0.11014635747492509,0.11399163101100188,0.04926112138017376,3499.209837117318,0.06684915510788392,0.06291189376361721,0.05728401280692622,1934.887177228079,0.021895493733614383,0.0418478280651296,0.031256409340183484,177.30478905930974,0.045533740874246394,0.08790901012476383,0.011627065023917162,290.5941061965311,0.04104002806741691,0.07731034467455163,0.006520016116331712,293.49351865157337,0.009670386531589713,0.036057964719243836,0.0023065833926515,200.41556067535512,0.01772116634847189,0.04826313234514244,0.02551321552839703,95.56801567983072,0.01890167300779972,0.04064783146722841,0.011100467062544219,484.9273687747129,0.017967611724937785,0.028358057188322818,0.005151470462705396,1541.6873149170178,0.010986061929228748,0.012148567776758627,0.0024275336396909247,2259.2075567229963,0.022468087875049177,0.06547683406393606,0.018025837565881404,1612.405431259136,0.030668495496151693,0.10612026017501892,0.025815597669223367,404.89280430069516,0.02747692244562337,0.08903933520865134,0.020439162001671635,1608.0996981149228,-63.58903532,0.0,1.0,0.0,-622.6102970745568
9,9,1.1224229335784912,3.845207929611206,0.006397786258925985,0.06991955659803152,1.4141295537309392e-14,1337.280595053766,0.033969867929993985,0.11158209538410929,0.08623428191476322,1337.2804613002033,0.07015901157642172,0.1155424874172018,0.09519534667518616,3329.6936863449555,0.0856920762494276,0.10427237892238456,0.053415181800528545,4429.605886542645,0.06259921704877584,0.05884463799289153,0.05048782918743104,2821.770872549454,0.02330084676706906,0.04614552746843051,0.027932568611757993,345.57768806403465,0.04176659427592338,0.09115347913395765,0.015516497005618074,15.745845076842663,0.03643309265306839,0.07866308992199633,0.0006170594039485458,253.00299932793638,0.001006524990211923,0.022175912468229843,0.012903584791748744,185.3286220142771,0.018100821677176502,0.03343551018775136,0.035110601523665366,354.0427973791624,0.019094982849154712,0.04244797862953688,0.010743141199316306,403.2355175038921,0.03072583061838111,0.05047840483519956,0.002548168536663547,1267.162165290015,0.024680437370125315,0.03703378115312102,0.0017740967476257976,1889.0009659156076,0.008839218413499361,0.047613234509102965,0.017829242284356953,1704.8313970462427,0.009380816619902237,0.06666924465902459,0.027898823013707958,311.7913392045465,0.006919776005382055,0.061715423599785456,0.022482502694365122,1711.7845451387323,-41.29998002,0.0,0.0,0.0,-408.5052729300714
