,Iteration,Local,Global,P0,Q0,U0,DA0,A0,RF0,RV0,P1,Q1,U1,DA1,A1,RF1,RV1,P2,Q2,U2,DA2,A2,RF2,RV2,P3,Q3,U3,DA3,A3,RF3,RV3,P4,Q4,U4,DA4,A4,RF4,RV4,P5,Q5,U5,DA5,A5,RF5,RV5,P6,Q6,U6,DA6,A6,RF6,RV6,P7,Q7,U7,DA7,A7,RF7,RV7,P8,Q8,U8,DA8,A8,RF8,RV8,P9,Q9,U9,DA9,A9,RF9,RV9,P10,Q10,U10,DA10,A10,RF10,RV10,P11,Q11,U11,DA11,A11,RF11,RV11,P12,Q12,U12,DA12,A12,RF12,RV12,P13,Q13,U13,DA13,A13,RF13,RV13,P14,Q14,U14,DA14,A14,RF14,RV14,P15,Q15,U15,DA15,A15,RF15,RV15,Cost15,Prime15,Dual15,Flow15,Relative Surplus15,FLEX15
0,0,7.3259687423706055,5.325237274169922,0.25866291655237533,0.3776178716229454,3.007691070818379e-10,25.86629156895412,0.027916876597307228,0.01951454998307417,0.002434461553259776,0.2586847660526626,0.7351927375552085,0.28000120912442583,25.866291772641723,0.3085397238437389,0.01951455041281381,0.002434461553259776,0.18262531433592552,0.446114966537017,0.1720033079853485,0.23773515961892155,0.10991638627982384,0.14402876545820767,0.0024422584537845387,0.2463669326352412,0.23788724187341995,0.3135017847533668,18.260983875222248,0.1108799753018635,0.14680518347555446,0.0173055061565539,0.22188657573640355,0.3171835341945877,0.29802061100036364,16.53792880928436,0.08972957176707802,0.12970177959372392,0.029892821278295643,0.13568583652639113,0.19271503948161917,0.013671297701753411,13.559484372898421,0.3085397460169752,0.019514550018049946,0.00243446155325977,0.03952965761336884,0.05659940890295704,0.00408898751573318,0.49684697621905627,0.10995533782736037,0.1464295944558241,0.004191301233642146,0.039216164668933684,0.05633434982078575,0.00010416445899890265,3.9216167523158294,0.15771643517202832,0.15569197989945577,0.007521962642170321,0.06123039748993123,0.08548101109919008,0.0012356040171690801,6.123039859304314,0.15774579103826936,0.14891347245042047,0.008095735927218285,0.09328449274503092,0.1309387875999809,0.03581068992782539,5.913869976004248,0.3085397473858221,0.01951455001239033,0.002434461553259776,0.04826048132039893,0.06918265087961237,0.00798183763217552,3.8150338599465923,0.3085397458191148,0.019514550003339803,0.002434461553259772,0.06013678294138644,0.08853044430995807,0.007742231815489933,2.955716308353918,0.10998918315645319,0.14641327240735982,0.005291041382870538,0.05237181627762886,0.07694979449205554,2.3804198452987057e-05,5.23718152124674,0.15755879177857487,0.1558450794986134,0.0028713185906237264,0.31745833790731864,0.44692762090691485,0.20621142131247663,0.23773517152747423,0.10991757353849284,0.1392578514671862,0.0024422583535780398,0.4528378193198681,0.23307595483624508,0.15140367638231278,31.744943585246997,0.30853973786119937,0.01951455001541109,0.0024344615532597763,0.32293643573373965,0.23138025097458462,0.0003529237417966447,32.293643761729875,0.30853941106970956,0.01951454998307417,0.002434461553259776,0.0,0.0,0.0,0.0,0.0,2.8478033980009334
1,1,6.681616544723511,5.245527744293213,0.085155395100938,0.11751213658619929,0.0,34.381208636404445,0.025902438694700037,0.017365244384822266,0.0022672351565508203,0.1123715876364434,0.12800031962421196,0.3600141428165701,34.38120877996037,0.29147151447522296,0.030467696958555193,0.002267235156550816,0.07344043157944241,0.3377741178896479,0.22063100625956125,0.8054427384646627,0.10824704413691895,0.1433878925274853,0.0022744775252353908,0.07340238637452724,0.3622466329670385,0.14555961915017718,25.58291321307128,0.11203711076578188,0.14977997081787747,0.0158429472775456,0.06329170997261485,0.16190173578513808,0.12250772459437563,16.01992773055044,0.08801839074177127,0.12946937544386172,0.028014231955501658,0.10784913537648161,0.15463137148380682,0.04649761857029175,7.258234122524564,0.2914714986528511,0.02797219932603798,0.002267235156550824,0.0902643987409573,0.12842688777244005,0.0015149989705815076,9.248433950979306,0.11031025035916132,0.1485659972275068,0.00387113674343938,0.022067544943105793,0.030873920585943897,0.0010699427002658028,6.128358185688868,0.15561226024277738,0.15422443204305675,0.0068524029140989064,0.05232554328236323,0.0734414500114913,0.009533866629388866,11.355593474064431,0.14965334639618108,0.1417397772344601,0.007666048016392498,0.05557903597478405,0.07772579435640391,0.05332465171770858,5.627600625168415,0.2914714970242893,0.028915958934766277,0.0022672351565508164,0.04888061649855895,0.06979573402032127,0.016861696959774103,5.666558003907929,0.2914714986384009,0.021673783628108276,0.0022672351565508203,0.046650822789663676,0.06730066739258285,0.001134734609287494,1.569769481128822,0.11034901406160984,0.148345955099639,0.004878973838526727,0.011393219375849372,0.01656188210172629,0.0007979734669382628,6.376272981738095,0.15546240309300247,0.15436962664266654,0.0026559160899126966,0.17804175315497453,0.12345969669028911,0.1764812696279064,7.546957551944981,0.10435986065018736,0.133029606035642,0.002274786511816869,0.16234545854391386,0.172561851186478,0.01943034348286291,15.510769732178309,0.29147150637120905,0.021364374628964188,0.002267235156550815,0.0008276389927386296,0.12818445863078806,0.013739277450589784,32.353959182907715,0.29147121285603694,0.017365244384731707,0.002267235156550815,-142.18554276,0.0,0.0,0.0,0.0,5.5813366386434335
2,2,6.893338680267334,5.1780335903167725,0.08418521702726423,0.2070140344605462,0.0,25.962866809195756,0.02306049494176319,0.014547442519439591,0.0020250652149004923,0.12377859356091182,0.2510173693076369,0.30848600979332735,25.9628673062062,0.2672009476257618,0.05090787419126075,0.0020250652149004966,0.06771947001416241,0.10476024701992492,0.2354631489905049,4.139713652401768,0.10625465251748324,0.14297941553360705,0.0020314900587671083,0.07161759774233463,0.10042541912581751,0.1105564131461371,19.688840464736213,0.11330667178635959,0.15349244233235593,0.013782135561941616,0.0752490843376426,0.039430291972751746,0.11964227586209993,11.951744511149577,0.08609322395132929,0.1300325005111644,0.025250130011944264,0.057371269786047584,0.04546518907820086,0.06314409296839427,1.898784810391149,0.26720095029694924,0.045808369168483166,0.002025065214900495,0.0504976536275032,0.07104983935555091,0.017462235140136506,11.292902025096032,0.11091996849757585,0.15168129175526135,0.0034099340900203916,0.04617324953601751,0.06496574286522239,0.0028686337054764223,10.745462623517678,0.1523631523006099,0.15191075394193293,0.005904265696101619,0.017312186086116524,0.023594721489030055,0.018380245929610503,13.086758969471095,0.1386472690650395,0.1320639687069668,0.007023155487571,0.04559527299767578,0.04331180769772022,0.07118179295149567,2.260920403321535,0.26720095054579096,0.04777246528503681,0.0020250652149004945,0.058145267597560536,0.08313072611987961,0.022277184728589573,8.206700094402548,0.2672009503845329,0.030554248502688102,0.002025065214900499,0.052877821365995406,0.07588134805516258,0.005620690739647078,6.79911401917156,0.11078017624613534,0.1509426361707064,0.004289689875732982,0.007776095036344567,0.010632560925971575,0.0020406685386840217,7.153744871596164,0.15223821336006707,0.1520191724818502,0.0023469894309117905,0.22209736427245452,0.1378579903291288,0.10163259391963841,0.8990599275780597,0.09714836601293408,0.12514619963273912,0.0020322262536833506,0.22105400054793503,0.046653875022551985,0.01926008188003102,5.03389712181603,0.26720095041145897,0.028096098428189973,0.002025065214900497,0.08160705926121593,0.04664173740772408,0.012504877995074356,24.19367557060648,0.26720071960899344,0.014620184527974216,0.0020250652149004966,-142.18536122,0.0,2.0,0.0,-1437.348314849371,8.153186552357454
3,3,7.1106858253479,5.306244134902954,0.13874365710552672,0.1282199276303065,0.0,12.088983969824277,0.01957288921672753,0.011416753200174752,0.0017164957396393421,0.17851405270600623,0.1563078541948982,0.18155756017653885,12.088984951284539,0.2369642531564084,0.07660203020587314,0.001716495739639339,0.10746591982752712,0.05762334780332124,0.21596774247368367,2.0975363221602965,0.10434525247936775,0.1431487219317855,0.0017218605144060882,0.1198485298842391,0.05422743068753061,0.1530808410177051,9.138438126923367,0.11436760605397266,0.15731705804654597,0.011238374996049507,0.06487977440345533,0.05868777924864583,0.060697130674492804,6.2663550784136195,0.08448750761530674,0.1320304058122813,0.021664985693509102,0.0332303015285815,0.03781077559844215,0.042508846872723514,0.9499740202693887,0.23696425572425642,0.06964523865709027,0.0017164957396393354,0.044376483010009904,0.05745839567975963,0.036778526656819764,9.57452042241178,0.11180735218255379,0.15563294979870215,0.0028269044321229046,0.04091203118952252,0.05731213214725178,0.009116746884053034,14.836557957425587,0.14793956226508803,0.14865146501556004,0.004728826155708266,0.01797596372486295,0.012439357757119624,0.023007331213482203,11.289471637642515,0.12569513573622365,0.12078160364615281,0.006173791188835279,0.026152226495479988,0.042450667421183044,0.05699403450678663,0.9673242723995583,0.23696425481357408,0.07240726136304167,0.0017164957396393424,0.04121865342785288,0.0647331994519368,0.030039282355764845,9.594762634563516,0.2369642441187401,0.04598918739578134,0.0017164957396393534,0.04272172581615866,0.060535616657147955,0.014030397089576666,10.680020167386367,0.11119522617334478,0.15392923344693044,0.0035503516389060377,0.01785806019277616,0.02463730444229611,0.005076680646919888,8.939437524420041,0.1478262533573601,0.1486927067176324,0.0019583006707473934,0.1851695190615054,0.10052971548944649,0.05134451668577683,11.937785137292071,0.08919647769010516,0.1167453644334342,0.0017231067704189243,0.16244552907782642,0.15382933532479237,0.05600181126054547,19.895481323047377,0.23696424485154444,0.03874809403341825,0.0017164957396393406,0.06557787802897992,0.14018669494535266,0.03393494763176156,17.63626484885307,0.23696409181759948,0.01215343140624113,0.0017164957396393389,-142.18517109,0.0,0.0,0.0,-1437.3400392263266,10.524730694963488
4,4,6.774306774139404,5.267630100250244,0.09372512853326702,0.02737419425700575,1.0877919644084146e-15,2.7177378577779776,0.01568770036590417,0.008397062763556099,0.0013528873577279123,0.1261985328026637,0.08218446949084372,0.07367541310335646,2.7177384696624864,0.20219237894516792,0.10443911004624316,0.0013528873577279101,0.1306439763227836,0.1060350188508265,0.148902674793454,3.85985877603266,0.10283940695343884,0.1441673448038691,0.001356980915802951,0.13198152618238912,0.08210183389040146,0.1101955579523276,2.49068157832083,0.11489218824165118,0.16064887657200322,0.0083423152173219,0.06294015921513672,0.04957879496384264,0.0221696098925812,0.06659628069756748,0.08368801948785022,0.13600053324006536,0.017355717306910285,0.01922416531199731,0.04296584467368186,0.027544075615605373,0.9302567618179618,0.20219238195280706,0.09679480035186581,0.0013528873577279095,0.023064197145177517,0.03185797133505547,0.03336195199547545,7.652953256844615,0.11294820869377495,0.1601760643044697,0.0021462666321579687,0.012747345681996331,0.027598266576893092,0.02023697860671421,16.11127668141539,0.14232243517225276,0.1443731862104342,0.0033872726877149373,0.034195469039699736,0.0338992418737277,0.009513602645858613,7.8704898204346705,0.11181403434522291,0.10882443994282925,0.005132326071524238,0.03514852177133232,0.045226877651829055,0.03173814463116527,1.7771069664108106,0.2021923945635135,0.10006194765086437,0.0013528873577279086,0.020284975669881206,0.036134105434579906,0.030211977761596138,9.543754377692382,0.20219238200482842,0.06622341271485623,0.0013528873577279197,0.03385565502074039,0.051629651768598746,0.022451822612660655,12.707542097160717,0.11149033183237624,0.15699424902785153,0.0026936363338876954,0.02711279140697077,0.0375987611289166,0.009230860323971333,11.650521278799198,0.1421951169587009,0.14427688975368014,0.0015073817908795534,0.09592310905435926,0.04086405618804205,0.05698948663903771,17.934927272670386,0.0814227021823406,0.10891820902480458,0.0013587882711024507,0.077866873198755,0.14970831176176,0.0777664530615104,27.381350613949483,0.2021923924171384,0.051276901622387315,0.0013528873577279147,0.021431430715497607,0.14907133962135094,0.06015168535578711,15.493178441709107,0.20219229817115697,0.012057726268315281,0.0013528873577279056,-142.18498557,0.0,0.0,0.0,-1437.330713670625,12.667071237127212
5,5,6.904358148574829,5.246013402938843,0.014504312586465595,0.0617040359087781,1.0877919644084146e-15,1.2693680918465202,0.011784380718780284,0.006069112773124487,0.0009479480045867886,0.06908811640296258,0.10742168354050408,0.004840841041720632,1.2693686278033813,0.16444963142821584,0.13201650645967686,0.0009479480045867472,0.1272820259193125,0.12800483959139214,0.07340319271278709,10.495926117801575,0.10195111691982761,0.14612983008492433,0.0009506070007854003,0.12803626376549904,0.0989023442505986,0.08148951052387063,13.351509867014977,0.11463982495840297,0.16293660252533365,0.005228820839380305,0.07268506887145092,0.04757449085075138,0.04743360429612521,6.756171753159795,0.08410455421889539,0.14226167517125893,0.012447957682143884,0.023141909134917687,0.03626552814272283,0.00700316091199265,1.2891431838349174,0.16444963252838968,0.12523888588767132,0.0009479480045867504,0.01844933335932307,0.026059183863855712,0.02102920819139677,6.9576965898177,0.11425468030376812,0.16497245233436122,0.001398092727384219,0.017087182430231083,0.008826297833644305,0.019835086508769417,14.40275685933831,0.13556064930656514,0.13900182207252826,0.0019509543201936424,0.031161428397989948,0.0458659007664581,0.010553047941922158,4.75577090931297,0.0979976011824418,0.09708648422459304,0.003922440763506191,0.03539875566341293,0.05676841023610056,0.006024736949765159,3.1854089495180435,0.16444962339107866,0.1287079828964156,0.0009479480045867375,0.011134407885137858,0.024645956741673476,0.025028954325346586,8.630971959203004,0.16444963706607338,0.08985709072078596,0.0009479480045867468,0.028202288675693767,0.044360686345135306,0.024703675485857945,13.34365052063661,0.11157984258700826,0.1597930931198568,0.0017565318350902693,0.027475218636215968,0.04145051223316385,0.013127204020773975,14.397901534710218,0.1353509808664307,0.1386694535416509,0.0010162702695497101,0.01901825309814369,0.055995331307872646,0.046986334115635645,19.190571021798387,0.07463894537790638,0.10261042562929126,0.0009530108602333541,0.018424759989692625,0.14170782767133486,0.06536898192635965,28.808665174420728,0.16444963438676383,0.06418807832539229,0.0009479480045867435,0.011649523785707308,0.1314764106856993,0.05792857606774509,16.65751275130396,0.1644496125515379,0.01631720589399097,0.0009479480045867442,-142.18483903,0.0,0.0,0.0,-1437.3208173823,14.561638782545574
6,6,6.916130542755127,5.225764513015747,0.04954344136800473,0.10370243230386604,1.0877919644084146e-15,6.222987561584446,0.008552914225163943,0.005212476801828424,0.0005215310671474367,0.07844275129603319,0.1430544598307856,0.04879463429473355,6.222988328079112,0.12538057085307974,0.15738650829113435,0.000521531067147511,0.10805104800261615,0.13896668288980832,0.032572585684897265,16.56976820299571,0.10192289961509823,0.14885050371462197,0.0005226466599490765,0.1130764330930804,0.1108261358157674,0.05848386070219936,22.28786476866892,0.11339751625403614,0.16380167576728494,0.002043296656187886,0.0781759050826267,0.05569566867178319,0.06459670870060495,13.684528854409871,0.08598041560657674,0.15086856073066485,0.007097227044289559,0.03262346574356095,0.03336275222617463,0.019580178746384763,4.541653716325283,0.12538057340456712,0.15329259370604306,0.0005215310671474887,0.0339553594658262,0.05252487832762983,0.007003647596688238,7.153151500158915,0.11560219298481686,0.16957849916152656,0.0006315495458907365,0.0338990011744356,0.04226486562006941,0.006881187264262149,11.01322344609852,0.1277508164056077,0.1325026534162022,0.0005870057481936183,0.018294397288172667,0.05033652415205258,0.01628148872214166,2.9293805429799162,0.0851908451264194,0.08631950282931161,0.00257723681148705,0.026370087547115232,0.06433905897950407,0.016289535670689553,4.767974412894553,0.1253805733207157,0.15673764001842486,0.0005215310671475016,0.010552908995690134,0.03360050610251659,0.019541408292032145,7.5825095057400445,0.12538055521848177,0.1157101535459175,0.0005215310671474751,0.018807098869940732,0.03276494459241721,0.020310599817578833,13.233306451897647,0.11133478304700795,0.16201349726041003,0.0007889688339749778,0.018773975888187886,0.03272312429855456,0.013206341587936229,16.275244983808104,0.12735897871421945,0.13178982841474743,0.0005251282845660462,0.018978386316357846,0.08784080731832372,0.026217798108886196,18.88183692379233,0.06952140971805966,0.09849859716281091,0.0005257434292384638,0.027403088854847574,0.14538005670008758,0.027743554572433736,26.936158205444695,0.1253805943935376,0.0765525656557944,0.000521531067147488,0.020007109117035904,0.11669808840805121,0.026505612288209805,18.65759104136167,0.1253806100477667,0.02425774321710298,0.0005215310671475036,-142.18474532,0.0,0.0,0.0,-1437.3108618670044,16.200391503096572
7,7,6.8974339962005615,5.138426065444946,0.08170816353735476,0.11895269887322552,1.0877919644084146e-15,14.393659017283952,0.007352822754681115,0.005943166492367864,0.0001687056226092885,0.0994986118227066,0.1547926644695579,0.06909434936829928,14.393660241545025,0.08666544090172365,0.17904414549532083,0.00016870562260931784,0.08787634743290446,0.14019707512674157,0.05808030104384835,22.199199935173883,0.10245604814015305,0.15219333607189592,0.00016874775676628404,0.09217469156691076,0.11828830776069174,0.048377676252024555,29.03559800417617,0.11113075772499369,0.16299017585939277,0.0011543838621356827,0.07307824485366875,0.0632982711016009,0.07319763487104498,19.963793897824967,0.08929895770407377,0.1616332117068003,0.001499627383197574,0.03242112421534009,0.037556525936364556,0.03342015908456799,7.7661317642523375,0.08666544067204293,0.17953039436327217,0.0001687056226093142,0.03543579549488754,0.07602393019017446,0.007767964637648184,7.484222639396419,0.11677723692283795,0.1735300088999555,0.00036225870439416584,0.035280751297421,0.06618957050286034,0.003622474161618778,7.4858256141437165,0.11902486286118731,0.12491952257126919,0.0011505318670512114,0.002802206312075562,0.047453518543468715,0.007528287100712476,2.6527281879828055,0.0741403605728285,0.07718676359491908,0.001156300059253332,0.01978668480177301,0.061774801997744995,0.024742656523871736,6.65783191401426,0.08666544561706928,0.18290488387675619,0.00016870562260931792,0.0069296725855806235,0.03992169084021657,0.016821192853008458,7.069857721868096,0.0866656127076745,0.1426224596271082,0.00016870562260929017,0.007040505741585425,0.020243282810614226,0.01339686840818169,12.768460667137532,0.11070324220106727,0.1633426926417246,0.0003410659087318245,0.0052846043738938205,0.013047271635885972,0.00863322577368387,16.80369303125179,0.11828342844471766,0.12367685676119118,0.0002899761652230925,0.025789685533402648,0.08599101413852774,0.016897613682782756,19.621354826323643,0.06654279837627193,0.09692216028059782,0.00017178661152680914,0.02650723228446484,0.13489811326822568,0.01441948377140359,24.465521789278238,0.08666513193625078,0.08786718471477493,0.00016870562260932136,0.009602895647664502,0.10567081320684192,0.00927905738956747,19.616903254048378,0.08666556322974969,0.0346510650286737,0.0001687056226093182,-142.18460509,0.0,0.0,0.0,-1437.3013047876914,17.58501274108669
8,8,6.725358963012695,5.255930662155151,0.08748874339433997,0.10433070472877749,0.0,23.142442757352867,0.00886344380193781,0.0073511433638373735,0.000436423497992362,0.10689094570773297,0.14203440919986027,0.07577922990196581,23.14244431470255,0.05010774221937433,0.19594247227891096,0.0004364234979924774,0.07406729239373591,0.1339023080287568,0.077274048286387,27.694309903854627,0.10353118342939999,0.15559342045345825,0.00043837351071501936,0.07054926535358029,0.11744872235721457,0.04785519178684181,34.00181701838008,0.10787988189018569,0.16045595331438112,0.004115517376505751,0.06002074827711671,0.06525064123900569,0.06945879385657548,24.974623893127255,0.09391084837626992,0.17406964511770984,0.004176977151539173,0.024792202960192352,0.0435392734195066,0.03658868204690454,10.24359667566533,0.05010775011926254,0.20278595775527433,0.00043642349799249345,0.02634555658866502,0.08973975037059297,0.015471648401078042,7.570977797568012,0.11746022588117556,0.1763993338332728,0.0010669148180461547,0.026331155393814958,0.07848955360586862,0.003481825176142588,4.85385943730242,0.10956936450500801,0.11635644256575751,0.0024957036589378684,0.01182884562394936,0.03806877957306807,0.0057190688890893255,3.8342652499112986,0.06547580970450066,0.07009229704071149,0.0005240509542587174,0.025101998507187383,0.05086777794378465,0.03565525444972773,8.843238116253863,0.05010796486444301,0.20631341780311013,0.0004364234979924886,0.007041338664553862,0.04225480479574286,0.016501331592800355,7.422732713270899,0.05010724036429532,0.16940150550455152,0.0004364234979925592,0.010259361674374445,0.029089948226836693,0.007653207471968162,12.159502700168797,0.10954304032425406,0.1635866263395237,0.0012305114810130635,0.008254161173284815,0.012377462570561739,0.003095181359068139,15.978500328080823,0.10830641602952672,0.11439056167713423,0.0006730481875337428,0.030796315685815378,0.06717448409899913,0.024713921527317165,22.363187875462696,0.0657625556536267,0.0979816662069606,0.00043643178078949223,0.015007515502041121,0.1072834682368543,0.03821014999857562,23.063250602124434,0.05010938408216752,0.09796883776525131,0.0004364234979924931,0.005345921747627109,0.08911700368438555,0.030185189633394907,19.083515901422288,0.05010772552958082,0.04674251370316833,0.0004364234979924925,-142.18446019,0.0,0.0,0.0,-1437.2925715016938,18.726423313768464
9,9,6.925469875335693,5.208841800689697,0.07897085193988905,0.07509776685113378,0.0,31.039483944685344,0.011722892796292165,0.008780743508126215,0.0008501530908019056,0.10493147557099015,0.11697103972355016,0.07809169205157555,31.039486005928207,0.019153272509190952,0.20749357381115088,0.0008501530908019239,0.06571166540174489,0.11956793723673984,0.08000899225212448,33.06837787988602,0.10462252585592945,0.15864846520908135,0.000853602042914571,0.052152764752273914,0.10701748009744168,0.04682814340673961,37.783295234083006,0.10382176974389762,0.15629260436738004,0.006828596859763961,0.04508260715872376,0.06002716353375473,0.05560847070114795,28.566204938628687,0.09946895802790495,0.18749734138729202,0.0096791299396653,0.015281513050906496,0.047918822473972,0.031049217507623916,11.76838600661234,0.019154111091523096,0.22215741107771458,0.0008501530908019007,0.013560551834160429,0.09372120909441105,0.02052552010047354,7.47145934016055,0.11740404108996876,0.1777264293443601,0.0017908868714480342,0.013523545730918466,0.08062813717000217,0.004473698795583487,3.502871846711861,0.09965647524614724,0.10694235261573026,0.0037337812087884508,0.0233084302109535,0.024543105877905445,0.01484013818235846,6.163283128715739,0.05955289016965125,0.0652558008311571,0.0019261545015385646,0.03436539826915155,0.03630319761495436,0.04287332783237598,11.101232435906883,0.019153502351048346,0.22639703725805752,0.0008501530908018945,0.012895819111420601,0.04438550992926835,0.016620565467760803,8.552739345529679,0.019154629078643567,0.19483891368553527,0.0008501530908018697,0.019265577936007368,0.05169662999506753,0.005572967010906796,11.538804521148904,0.10783462366373715,0.16254570401821292,0.002117029830031388,0.018237046618993565,0.03765471284520888,0.00019618555895295196,14.15513477790766,0.09767885066535482,0.10407062917618645,0.0011381863520096855,0.0434817226202715,0.04816070866250201,0.029039000159870928,26.706172822659763,0.06705753361911693,0.10140581663832489,0.000850981214664134,0.013193582775453754,0.06671830557380064,0.041655821778969995,23.275302772742343,0.019151179986998012,0.10695756658618047,0.0008501530908018665,0.013021686439233954,0.061163768087492666,0.032095453873249725,17.78168034501145,0.01916507618603708,0.059945531635479256,0.0008501530908018913,-142.18432822,0.0,0.0,0.0,-1437.2850496764543,19.643693684704132
